cf_timestamp_ms,host_monotonic_s,motion.deltaX,motion.deltaY,motion.shutter,motion.squal
92810,1886.416006,0,0,4472,131
92830,1886.436007,0,0,4472,126
92850,1886.456005,0,-1,4472,133
92870,1886.475995,1,0,4472,130
92890,1886.496048,0,0,4472,130
92910,1886.516000,0,0,4472,128
92930,1886.535996,0,0,4472,133
92950,1886.555999,0,0,4472,126
92970,1886.575997,1,0,4472,127
92990,1886.595998,1,0,4472,130
93010,1886.615996,0,0,4472,129
93030,1886.635988,0,0,4472,129
93050,1886.655993,1,0,4472,132
93070,1886.675993,0,-1,4472,124
93090,1886.695996,0,0,4472,128
93110,1886.715996,0,1,4472,127
93130,1886.735994,0,0,4472,131
93150,1886.754996,0,0,4472,126
93170,1886.775999,0,0,4472,134
93190,1886.794991,0,0,4472,128
93210,1886.814990,0,0,4472,135
93230,1886.834988,0,0,4472,129
93250,1886.854991,-1,-1,4472,130
93270,1886.874989,0,1,4472,133
93290,1886.894988,0,0,4472,126
93310,1886.914990,-1,0,4472,133
93330,1886.934986,0,0,4472,132
93350,1886.954986,0,0,4472,126
93370,1886.974995,0,-1,4472,138
93390,1886.994988,0,0,4472,125
93410,1887.014989,0,0,4472,131
93430,1887.034985,0,0,4472,132
93450,1887.054987,2,2,4472,134
93470,1887.074983,0,0,4472,135
93490,1887.094983,0,-1,4472,125
93510,1887.114986,-1,0,4472,138
93530,1887.134983,1,0,4472,135
93550,1887.154987,-1,0,4472,129
93570,1887.174985,0,0,4472,135
93590,1887.195006,0,1,4472,129
93610,1887.214989,0,0,4472,138
93630,1887.234981,0,0,4472,143
93650,1887.254979,0,0,4472,140
93670,1887.274984,0,1,4472,136
93690,1887.294984,0,0,4472,137
93710,1887.314980,0,0,4472,136
93730,1887.334980,1,0,4472,136
93750,1887.354980,0,0,4472,138
93770,1887.374977,4,0,4472,137
93790,1887.394981,0,0,4472,135
93810,1887.415029,0,0,4472,134
93830,1887.434979,0,0,4472,133
93850,1887.454978,1,1,4472,134
93870,1887.474973,0,0,4472,129
93890,1887.494974,0,0,4472,134
93910,1887.514976,0,0,4472,131
93930,1887.534977,0,0,4472,137
93950,1887.554977,0,0,4472,133
93970,1887.574971,1,0,4472,135
93990,1887.594977,0,0,4472,133
94010,1887.614980,0,-1,4472,131
94030,1887.634987,0,0,4472,134
94050,1887.654976,0,0,4472,140
94070,1887.674983,0,0,4472,136
94090,1887.694972,0,0,4472,134
94110,1887.714976,0,0,4472,137
94130,1887.734971,4,0,4472,128
94150,1887.754967,0,0,4472,130
94170,1887.774968,0,0,4472,127
94190,1887.794968,0,0,4472,132
94210,1887.814969,0,0,4472,132
94230,1887.834966,0,0,4472,137
94250,1887.854974,0,0,4472,131
94270,1887.874972,0,0,4472,138
94290,1887.894965,0,0,4472,137
94310,1887.914968,0,0,4472,141
94330,1887.934965,2,1,4472,138
94350,1887.954969,0,0,4472,138
94370,1887.974967,-1,0,4472,136
94390,1887.994964,0,0,4472,137
94410,1888.014963,-1,0,4472,132
94430,1888.034960,0,0,4472,134
94450,1888.054959,-1,0,4472,134
94470,1888.074966,0,1,4472,127
94490,1888.094964,0,0,4472,133
94510,1888.114969,0,0,4472,126
94530,1888.134965,0,1,4472,133
94550,1888.154963,1,0,4472,131
94570,1888.174964,3,0,4472,129
94590,1888.194962,0,0,4472,132
94610,1888.214969,0,0,4472,130
94630,1888.233961,0,0,4472,132
94650,1888.254959,0,0,4472,133
94670,1888.273938,0,0,4472,127
94690,1888.293927,0,-1,4472,130
