cf_timestamp_ms,host_monotonic_s,motion.outlierCount,motion.motion,motion.std
92811,1886.417010,0,48,2.0
92831,1886.437015,0,48,2.0
92851,1886.456997,0,176,2.0
92871,1886.476997,0,176,2.0
92891,1886.497011,0,48,2.0
92911,1886.516995,0,48,2.0
92931,1886.537008,0,48,2.0
92951,1886.557019,0,48,2.0
92971,1886.577027,0,176,2.0
92991,1886.596996,0,176,2.0
93011,1886.616994,0,48,2.0
93031,1886.637009,0,48,2.0
93051,1886.656995,0,176,2.0
93071,1886.676990,0,176,2.0
93091,1886.696992,0,48,2.0
93111,1886.716991,0,176,2.0
93131,1886.737006,0,48,2.0
93151,1886.756991,0,48,2.0
93171,1886.776996,0,48,2.0
93191,1886.797007,0,48,2.0
93211,1886.816992,0,48,2.0
93231,1886.836995,0,48,2.0
93251,1886.856986,0,176,2.0
93271,1886.876983,0,176,2.0
93291,1886.896982,0,48,2.0
93311,1886.916985,0,176,2.0
93331,1886.936989,0,48,2.0
93351,1886.956982,0,48,2.0
93371,1886.975992,0,176,2.0
93391,1886.995988,0,48,2.0
93411,1887.015987,0,48,2.0
93431,1887.035983,0,48,2.0
93451,1887.055981,0,176,2.0
93471,1887.075977,0,48,2.0
93491,1887.095980,0,176,2.0
93511,1887.115981,0,176,2.0
93531,1887.135982,0,176,2.0
93551,1887.155982,0,176,2.0
93571,1887.175983,0,48,2.0
93591,1887.196011,0,176,2.0
93611,1887.215984,0,48,2.0
93631,1887.235975,0,48,2.0
93651,1887.255982,0,48,2.0
93671,1887.275979,0,176,2.0
93691,1887.295976,0,48,2.0
93711,1887.315974,0,48,2.0
93731,1887.335976,0,176,2.0
93751,1887.355975,0,48,2.0
93771,1887.375976,0,176,2.0
93791,1887.395975,0,48,2.0
93811,1887.416018,0,48,2.0
93831,1887.435977,0,48,2.0
93851,1887.455974,0,176,2.0
93871,1887.475972,0,48,2.0
93891,1887.495973,0,48,2.0
93911,1887.515974,0,48,2.0
93931,1887.535974,0,48,2.0
93951,1887.555980,0,48,2.0
93971,1887.575973,0,176,2.0
93991,1887.595969,0,48,2.0
94011,1887.615976,0,176,2.0
94031,1887.635974,0,48,2.0
94051,1887.655972,0,48,2.0
94071,1887.675971,0,48,2.0
94091,1887.695975,0,48,2.0
94111,1887.715973,0,48,2.0
94131,1887.735970,0,176,2.0
94151,1887.755965,0,48,2.0
94171,1887.775964,0,48,2.0
94191,1887.795963,0,48,2.0
94211,1887.815967,0,48,2.0
94231,1887.835964,0,48,2.0
94251,1887.855970,0,48,2.0
94271,1887.875964,0,48,2.0
94291,1887.895968,0,48,2.0
94311,1887.915983,0,48,2.0
94331,1887.935967,0,176,2.0
94351,1887.955965,0,48,2.0
94371,1887.975963,0,176,2.0
94391,1887.995960,0,48,2.0
94411,1888.015959,0,176,2.0
94431,1888.035957,0,48,2.0
94451,1888.055955,0,176,2.0
94471,1888.075964,0,176,2.0
94491,1888.095960,0,48,2.0
94511,1888.115965,0,48,2.0
94531,1888.135961,0,176,2.0
94551,1888.155961,0,176,2.0
94571,1888.175957,0,176,2.0
94591,1888.195957,0,48,2.0
94611,1888.215962,0,48,2.0
94631,1888.234958,0,48,2.0
94651,1888.255956,0,48,2.0
94671,1888.274931,0,48,2.0
94691,1888.294925,0,176,2.0
94711,1888.314933,0,48,2.0
94731,1888.334924,0,48,2.0
94751,1888.354925,0,176,2.0
94771,1888.374925,0,48,2.0
94791,1888.394922,0,48,2.0
94811,1888.414925,0,48,2.0
94831,1888.434922,0,48,2.0
94851,1888.454921,0,48,2.0
94871,1888.474926,0,176,2.0
94891,1888.494924,0,48,2.0
94911,1888.514927,0,48,2.0
94931,1888.534923,0,48,2.0
94951,1888.554924,0,48,2.0
94971,1888.575921,0,48,2.0
94991,1888.594922,0,48,2.0
95011,1888.614920,0,48,2.0
95031,1888.634948,0,176,2.0
95051,1888.654948,0,176,2.0
95071,1888.674955,0,176,2.0
95091,1888.694951,0,48,2.0
95111,1888.714952,0,48,2.0
95131,1888.734946,0,48,2.0
95151,1888.754947,0,48,2.0
95171,1888.774951,0,48,2.0
95191,1888.794946,0,48,2.0
95211,1888.814956,0,48,2.0
95231,1888.834943,0,48,2.0
95251,1888.854944,0,48,2.0
95271,1888.874938,0,48,2.0
95291,1888.894963,0,176,2.0
95311,1888.914946,0,48,2.0
95331,1888.934942,0,176,2.0
95351,1888.954941,0,48,2.0
95371,1888.974943,0,48,2.0
95391,1888.994934,0,48,2.0
95411,1889.014943,0,176,2.0
95431,1889.034937,0,48,2.0
95451,1889.054937,0,176,2.0
95471,1889.074939,0,176,2.0
95491,1889.094942,0,176,2.0
95511,1889.114975,0,48,2.0
95531,1889.134940,0,48,2.0
95551,1889.154940,0,176,2.0
95571,1889.174939,0,48,2.0
95591,1889.194935,0,48,2.0
95611,1889.215937,0,48,2.0
95631,1889.234936,0,176,2.0
95651,1889.254936,0,48,2.0
95671,1889.274937,0,176,2.0
95691,1889.294930,0,48,2.0
95711,1889.314951,0,48,2.0
95731,1889.334936,0,48,2.0
95751,1889.354932,0,48,2.0
95771,1889.374935,0,48,2.0
95791,1889.394932,0,48,2.0
95811,1889.414965,0,48,2.0
95831,1889.434931,0,176,2.0
95851,1889.454926,0,176,2.0
