cf_timestamp_ms,host_monotonic_s,motion.deltaX,motion.deltaY,motion.shutter,motion.squal
132570,1926.147095,0,0,2922,127
132590,1926.167113,0,0,2922,127
132610,1926.187106,0,0,2922,125
132630,1926.207104,0,0,2922,133
132650,1926.227093,0,0,2922,130
132670,1926.247082,0,0,2922,122
132690,1926.268102,0,0,2922,127
132710,1926.287099,0,0,2922,128
132730,1926.307106,1,0,2922,131
132750,1926.327092,0,0,2922,133
132770,1926.347080,0,0,2922,131
132790,1926.368092,0,0,2922,132
132810,1926.387089,0,0,2922,134
132830,1926.407082,0,0,2922,130
132850,1926.427083,0,0,2922,131
132870,1926.447077,1,0,2922,129
132890,1926.467086,0,0,2922,132
132910,1926.487084,0,0,2922,134
132930,1926.507101,0,0,2922,128
132950,1926.527115,1,0,2922,130
132970,1926.547082,1,0,2922,132
132990,1926.568086,0,0,2922,132
133010,1926.587081,0,0,2922,131
133030,1926.607100,0,0,2922,132
133050,1926.627076,0,0,2922,132
133070,1926.647074,-1,0,2922,129
133090,1926.667076,1,0,2922,130
133110,1926.687079,0,0,2922,126
133130,1926.707075,0,0,2922,128
133150,1926.727072,0,0,2922,131
133170,1926.747103,0,0,2922,132
133190,1926.767095,0,0,2922,126
133210,1926.787077,0,0,2922,129
133230,1926.807090,0,0,2922,128
133250,1926.827073,0,0,2922,134
133270,1926.847069,0,0,2922,129
133290,1926.866072,0,0,2922,126
133310,1926.887080,0,0,2922,128
133330,1926.907073,0,-1,2922,126
133350,1926.927068,1,0,2922,128
133370,1926.947080,-1,0,2922,129
133390,1926.966091,0,0,2922,128
133410,1926.987078,1,0,2922,131
133430,1927.007084,0,0,2922,132
133450,1927.027066,1,0,2922,136
133470,1927.047065,0,0,2922,136
133490,1927.066068,0,0,2922,133
133510,1927.086065,1,0,2922,135
133530,1927.106064,0,0,2922,131
133550,1927.126072,0,0,2922,134
133570,1927.146068,1,0,2922,129
133590,1927.166078,-1,0,2922,130
133610,1927.186071,1,0,2922,128
133630,1927.206063,0,0,2922,136
133650,1927.226066,0,0,2922,136
133670,1927.246063,2,-1,2922,137
133690,1927.266067,0,0,2922,136
133710,1927.286066,0,-1,2922,131
133730,1927.306093,-1,1,2922,136
133750,1927.326067,0,0,2922,134
133770,1927.346062,0,0,2922,135
133790,1927.366059,0,0,2922,137
133810,1927.386061,-1,0,2922,135
133830,1927.406063,0,0,2922,133
133850,1927.426059,-1,0,2922,135
133870,1927.446054,1,0,2922,133
133890,1927.466060,0,0,2922,135
133910,1927.486060,0,0,2922,137
133930,1927.506068,1,0,2922,139
133950,1927.526030,1,0,2922,137
133970,1927.546053,0,1,2922,139
133990,1927.566058,0,0,2922,135
134010,1927.586058,0,0,2922,140
134030,1927.606058,0,0,2922,130
134050,1927.626055,1,0,2922,132
134070,1927.646057,0,0,2922,130
134090,1927.666030,0,0,2922,130
134110,1927.686051,0,0,2922,135
134130,1927.706049,0,0,2922,131
134150,1927.726023,-1,0,2922,135
134170,1927.746050,0,0,2922,129
134190,1927.766048,0,0,2922,133
134210,1927.786048,0,0,2922,134
134230,1927.806023,0,-1,2922,133
134250,1927.826032,0,0,2922,136
134270,1927.846050,0,0,2922,134
134290,1927.866023,0,0,2922,136
134310,1927.886052,0,0,2922,139
134330,1927.906050,-1,0,2922,132
134350,1927.926052,0,0,2922,132
134370,1927.946049,0,0,2922,132
134390,1927.966023,-1,0,2922,136
134410,1927.986046,0,0,2922,137
134430,1928.006047,0,0,2922,137
134450,1928.026049,0,0,2922,141
134470,1928.046048,0,0,2922,137
134490,1928.066049,0,0,2922,143
134510,1928.086046,0,0,2922,138
134530,1928.106045,0,0,2922,135
134550,1928.126049,0,0,2922,133
134570,1928.146041,0,0,2922,138
134590,1928.166044,0,0,2922,133
134610,1928.186042,0,0,2922,136
134630,1928.206042,0,0,2922,141
134650,1928.226046,0,0,2922,135
134670,1928.246066,-1,0,2922,141
134690,1928.266046,0,0,2922,136
134710,1928.286041,0,0,2922,138
134730,1928.306039,0,0,2922,135
134750,1928.326042,0,0,2922,132
134770,1928.346040,0,0,2922,131
134790,1928.366044,0,0,2740,130
134810,1928.386038,0,0,2740,131
134830,1928.406037,0,0,2740,131
134850,1928.426040,0,-1,2740,134
134870,1928.446054,0,0,2740,130
134890,1928.466039,0,0,2740,140
134910,1928.486038,0,0,2740,131
134930,1928.506037,1,0,2740,132
134950,1928.526047,1,0,2740,134
134970,1928.546039,0,0,2740,133
134990,1928.566040,-1,0,2740,133
135010,1928.586034,0,0,2740,137
135030,1928.606029,-1,-1,2740,127
135050,1928.626038,0,0,2740,131
135070,1928.646038,0,0,2740,129
135090,1928.665049,0,0,2740,125
135110,1928.685026,0,0,2740,130
135130,1928.705027,0,0,2740,133
135150,1928.725031,0,0,2740,131
135170,1928.745025,0,0,2740,134
135190,1928.765025,0,0,2740,128
135210,1928.785023,0,0,2740,130
135230,1928.805022,0,0,2740,129
135250,1928.825025,0,0,2740,133
135270,1928.845023,0,0,2740,133
135290,1928.865049,0,0,2740,133
135310,1928.885025,0,0,2740,133
135330,1928.905025,-1,-1,2740,132
135350,1928.925022,0,0,2740,136
135370,1928.945020,0,0,2740,131
135390,1928.965023,0,0,2740,136
135410,1928.985022,-2,0,2740,131
135430,1929.005021,-1,1,2740,135
135450,1929.025018,0,0,2740,131
135470,1929.045025,0,0,2740,132
135490,1929.065041,-1,1,2740,131
135510,1929.085024,0,0,2740,139
135530,1929.105020,1,0,2740,132
135550,1929.125019,-1,0,2740,134
135570,1929.145014,0,0,2740,136
135590,1929.165023,0,0,2740,129
135610,1929.185017,0,0,2740,132
135630,1929.205020,0,1,2740,131
135650,1929.225019,0,0,2740,142
135670,1929.245017,0,1,2740,133
135690,1929.265015,-1,0,2740,137
135710,1929.285022,0,0,2740,140
135730,1929.305019,0,0,2740,133
135750,1929.325033,-3,0,2740,130
135770,1929.345014,2,0,2740,134
135790,1929.365012,1,0,2740,132
135810,1929.385014,0,0,2740,138
135830,1929.405013,0,0,2740,137
135850,1929.425013,-2,2,2740,136
135870,1929.445013,0,0,2740,137
135890,1929.465006,0,0,2740,133
135910,1929.485011,0,-1,2740,134
135930,1929.505013,0,0,2740,130
135950,1929.525021,0,0,2740,140
135970,1929.545010,0,0,2740,131
135990,1929.565008,0,0,2740,128
136010,1929.585011,0,0,2740,130
136030,1929.605011,0,0,2740,136
136050,1929.625009,0,0,2740,134
136070,1929.645007,0,0,2740,135
136090,1929.664999,1,0,2740,131
136110,1929.685004,0,0,2740,135
136130,1929.705008,0,0,2740,139
136150,1929.725000,0,0,2740,135
136170,1929.745009,0,-1,2740,133
136190,1929.764999,0,0,2740,131
136210,1929.784999,0,0,2740,130
136230,1929.805000,0,0,2740,140
136250,1929.824999,1,-1,2740,133
136270,1929.844997,-1,-1,2740,140
136290,1929.864994,0,0,2740,138
136310,1929.884996,0,2,2740,138
136330,1929.904996,0,0,2740,139
136350,1929.925000,0,0,2740,137
136370,1929.943994,-1,0,2740,139
136390,1929.965027,-1,0,2740,137
136410,1929.984005,-1,0,2740,134
136430,1930.004000,1,0,2740,138
136450,1930.023997,-1,0,2740,139
136470,1930.044007,0,0,2740,137
136490,1930.063998,3,0,2740,140
136510,1930.083996,-1,1,2740,142
136530,1930.103996,0,0,2740,141
136550,1930.124013,0,1,2740,135
136570,1930.143995,-1,0,2740,140
136590,1930.163989,0,-2,2740,139
136610,1930.183990,1,0,2740,136
136630,1930.203993,2,0,2740,135
136650,1930.223990,0,0,2740,137
136670,1930.243937,2,0,2740,134
136690,1930.263959,1,0,2740,137
136710,1930.283956,2,0,2740,139
136730,1930.303955,0,0,2740,133
136750,1930.324008,0,0,2740,137
136770,1930.343987,0,0,2740,135
136790,1930.363984,-1,0,2740,142
136810,1930.383985,0,0,2740,138
136830,1930.403992,1,0,2740,138
136850,1930.424005,0,0,2740,137
136870,1930.443986,3,0,2740,143
136890,1930.463982,1,0,2740,138
136910,1930.483982,1,-1,2740,132
136930,1930.503983,1,-2,2740,131
136950,1930.523998,2,0,2740,132
136970,1930.543989,1,-1,2740,137
136990,1930.563986,0,0,2740,129
137010,1930.583982,0,0,2740,141
137030,1930.603984,0,-1,2740,136
137050,1930.624006,0,0,2740,138
137070,1930.643984,0,0,2740,137
137090,1930.663980,0,-1,2740,139
137110,1930.683979,0,-2,2740,131
137130,1930.703982,0,0,2740,139
137150,1930.723976,0,0,2740,140
137170,1930.743981,0,-1,2740,140
