cf_timestamp_ms,host_monotonic_s,motion.outlierCount,motion.motion,motion.std
132571,1926.148098,0,48,2.0
132591,1926.168099,0,48,2.0
132611,1926.188099,0,48,2.0
132631,1926.208116,0,48,2.0
132651,1926.228090,0,48,2.0
132671,1926.248082,0,48,2.0
132691,1926.269096,0,48,2.0
132711,1926.288085,0,48,2.0
132731,1926.308098,0,176,2.0
132751,1926.328086,0,48,2.0
132771,1926.348086,0,48,2.0
132791,1926.369083,0,48,2.0
132811,1926.388082,0,48,2.0
132831,1926.408104,0,48,2.0
132851,1926.428079,0,48,2.0
132871,1926.448077,0,176,2.0
132891,1926.468090,0,48,2.0
132911,1926.488078,0,48,2.0
132931,1926.508083,0,48,2.0
132951,1926.528117,0,176,2.0
132971,1926.548080,0,176,2.0
132991,1926.569076,0,48,2.0
133011,1926.588081,0,48,2.0
133031,1926.608080,0,48,2.0
133051,1926.628081,0,48,2.0
133071,1926.648074,0,176,2.0
133091,1926.669082,0,176,2.0
133111,1926.688075,0,48,2.0
133131,1926.708091,0,48,2.0
133151,1926.728081,0,48,2.0
133171,1926.748080,0,48,2.0
133191,1926.769085,0,48,2.0
133211,1926.788069,0,48,2.0
133231,1926.808074,0,48,2.0
133251,1926.828071,0,48,2.0
133271,1926.848069,0,48,2.0
133291,1926.868080,0,48,2.0
133311,1926.888072,0,48,2.0
133331,1926.908101,0,176,2.0
133351,1926.928067,0,176,2.0
133371,1926.948076,0,176,2.0
133391,1926.968084,0,48,2.0
133411,1926.988070,0,176,2.0
133431,1927.008064,0,48,2.0
133451,1927.028066,0,176,2.0
133471,1927.048066,0,48,2.0
133491,1927.068065,0,48,2.0
133511,1927.088067,0,176,2.0
133531,1927.107064,0,48,2.0
133551,1927.127070,0,48,2.0
133571,1927.147064,0,176,2.0
133591,1927.168073,0,176,2.0
133611,1927.187078,0,176,2.0
133631,1927.207080,0,48,2.0
133651,1927.227066,0,48,2.0
133671,1927.247059,0,176,2.0
133691,1927.267061,0,48,2.0
133711,1927.287069,0,176,2.0
133731,1927.307082,0,176,2.0
133751,1927.328067,0,48,2.0
133771,1927.348057,0,48,2.0
133791,1927.367061,0,48,2.0
133811,1927.388058,0,176,2.0
133831,1927.407062,0,48,2.0
133851,1927.428058,0,176,2.0
133871,1927.448056,0,176,2.0
133891,1927.467053,0,48,2.0
133911,1927.488059,0,48,2.0
133931,1927.508056,0,176,2.0
133951,1927.528052,0,176,2.0
133971,1927.548050,0,176,2.0
133991,1927.567058,0,48,2.0
134011,1927.588054,0,48,2.0
134031,1927.608070,0,48,2.0
134051,1927.628051,0,176,2.0
134071,1927.648048,0,48,2.0
134091,1927.667049,0,48,2.0
134111,1927.688049,0,48,2.0
134131,1927.708059,0,48,2.0
134151,1927.728044,0,176,2.0
134171,1927.748048,0,48,2.0
134191,1927.767045,0,48,2.0
134211,1927.788050,0,48,2.0
134231,1927.808067,0,176,2.0
134251,1927.828056,0,48,2.0
134271,1927.847050,0,48,2.0
134291,1927.867051,0,48,2.0
134311,1927.887031,0,48,2.0
134331,1927.907067,0,176,2.0
134351,1927.927045,0,48,2.0
134371,1927.947049,0,48,2.0
134391,1927.967047,0,176,2.0
134411,1927.987054,0,48,2.0
134431,1928.007016,0,48,2.0
134451,1928.027048,0,48,2.0
134471,1928.047046,0,48,2.0
134491,1928.067042,0,48,2.0
134511,1928.087049,0,48,2.0
134531,1928.107045,0,48,2.0
134551,1928.127043,0,48,2.0
134571,1928.147040,0,48,2.0
134591,1928.167039,0,48,2.0
134611,1928.187044,0,48,2.0
134631,1928.207065,0,48,2.0
134651,1928.227042,0,48,2.0
134671,1928.247047,0,176,2.0
134691,1928.267041,0,48,2.0
134711,1928.287045,0,48,2.0
134731,1928.307036,0,48,2.0
134751,1928.327039,0,48,2.0
134771,1928.347035,0,48,2.0
134791,1928.367039,0,48,2.0
134811,1928.387043,0,48,2.0
134831,1928.407050,0,48,2.0
134851,1928.427039,0,176,2.0
134871,1928.447027,0,48,2.0
134891,1928.467035,0,48,2.0
134911,1928.487040,0,48,2.0
134931,1928.507033,0,176,2.0
134951,1928.527038,0,176,2.0
134971,1928.547035,0,48,2.0
134991,1928.567035,0,176,2.0
135011,1928.587040,0,48,2.0
135031,1928.607047,0,176,2.0
135051,1928.627030,0,48,2.0
135071,1928.647032,0,48,2.0
135091,1928.666048,0,48,2.0
135111,1928.686025,0,48,2.0
135131,1928.706023,0,48,2.0
135151,1928.726024,0,48,2.0
135171,1928.746023,0,48,2.0
135191,1928.766021,0,48,2.0
135211,1928.786023,0,48,2.0
135231,1928.806019,0,48,2.0
135251,1928.826023,0,48,2.0
135271,1928.846023,0,48,2.0
135291,1928.866044,0,48,2.0
135311,1928.886022,0,48,2.0
135331,1928.906024,0,176,2.0
135351,1928.926020,0,48,2.0
135371,1928.946029,0,48,2.0
135391,1928.966022,0,48,2.0
135411,1928.986020,0,176,2.0
135431,1929.006019,0,176,2.0
135451,1929.026016,0,48,2.0
135471,1929.046023,0,48,2.0
135491,1929.066036,0,176,2.0
135511,1929.086021,0,48,2.0
135531,1929.106018,0,176,2.0
135551,1929.126016,0,176,2.0
135571,1929.146016,0,48,2.0
135591,1929.166016,0,48,2.0
135611,1929.186017,0,48,2.0
135631,1929.206017,0,176,2.0
135651,1929.226013,0,48,2.0
135671,1929.246014,0,176,2.0
135691,1929.266013,0,176,2.0
135711,1929.286015,0,48,2.0
135731,1929.306017,0,48,2.0
135751,1929.326017,0,176,2.0
135771,1929.346012,0,176,2.0
135791,1929.366010,0,176,2.0
135811,1929.386011,0,48,2.0
135831,1929.406009,0,48,2.0
135851,1929.426009,0,176,2.0
135871,1929.446011,0,48,2.0
135891,1929.466009,0,48,2.0
135911,1929.486009,0,176,2.0
135931,1929.506011,0,48,2.0
135951,1929.526008,0,48,2.0
135971,1929.546008,0,48,2.0
135991,1929.566006,0,48,2.0
136011,1929.586009,0,48,2.0
136031,1929.606006,0,48,2.0
136051,1929.626008,0,48,2.0
136071,1929.645998,0,48,2.0
136091,1929.665999,0,176,2.0
136111,1929.685998,0,48,2.0
136131,1929.705997,0,48,2.0
136151,1929.725999,0,48,2.0
136171,1929.746007,0,176,2.0
136191,1929.765997,0,48,2.0
136211,1929.785998,0,48,2.0
136231,1929.805997,0,48,2.0
136251,1929.825995,0,176,2.0
136271,1929.845995,0,176,2.0
136291,1929.865994,0,48,2.0
136311,1929.885994,0,176,2.0
136331,1929.905996,0,48,2.0
136351,1929.925993,0,48,2.0
136371,1929.944992,0,176,2.0
136391,1929.966021,0,176,2.0
136411,1929.986008,0,176,2.0
136431,1930.005014,0,176,2.0
136451,1930.025041,0,176,2.0
136471,1930.044997,0,48,2.0
136491,1930.064995,0,176,2.0
136511,1930.085013,0,176,2.0
136531,1930.104994,0,48,2.0
136551,1930.124994,0,176,2.0
136571,1930.144990,0,176,2.0
136591,1930.164987,0,176,2.0
136611,1930.184985,0,176,2.0
136631,1930.204987,0,176,2.0
136651,1930.224998,0,48,2.0
136671,1930.244937,0,176,2.0
136691,1930.264956,0,176,2.0
136711,1930.284957,0,176,2.0
136731,1930.304953,0,48,2.0
136751,1930.324993,0,48,2.0
136771,1930.344985,0,48,2.0
136791,1930.364982,0,176,2.0
136811,1930.384982,0,48,2.0
136831,1930.404987,0,176,2.0
136851,1930.424986,0,48,2.0
136871,1930.444984,0,176,2.0
136891,1930.464980,0,176,2.0
136911,1930.484978,0,176,2.0
136931,1930.504982,0,176,2.0
136951,1930.524981,0,176,2.0
136971,1930.544974,0,176,2.0
136991,1930.564979,0,48,2.0
137011,1930.584980,0,48,2.0
137031,1930.604979,0,176,2.0
137051,1930.624988,0,48,2.0
137071,1930.644981,0,48,2.0
137091,1930.664975,0,176,2.0
137111,1930.684975,0,176,2.0
137131,1930.704974,0,48,2.0
137151,1930.724976,0,48,2.0
137171,1930.745018,0,176,2.0
137191,1930.764971,0,176,2.0
137211,1930.784976,0,48,2.0
137231,1930.804975,0,48,2.0
137251,1930.824978,0,48,2.0
137271,1930.844979,0,176,2.0
137291,1930.864970,0,176,2.0
137311,1930.884972,0,48,2.0
137331,1930.904971,0,176,2.0
137351,1930.924969,0,176,2.0
137371,1930.945605,0,176,2.0
137391,1930.964553,0,176,2.0
137411,1930.984511,0,176,2.0
137431,1931.004525,0,176,2.0
137451,1931.024523,0,176,2.0
137471,1931.044527,0,176,2.0
137491,1931.064531,0,176,2.0
137511,1931.084535,0,48,2.0
137531,1931.104532,0,176,2.0
137551,1931.124530,0,176,2.0
137571,1931.144533,0,176,2.0
137591,1931.164533,0,176,2.0
137611,1931.184530,0,48,2.0
137631,1931.204532,0,176,2.0
137651,1931.224539,0,176,2.0
137671,1931.244525,0,176,2.0
137691,1931.264528,0,176,2.0
137711,1931.284527,0,48,2.0
137731,1931.304528,0,48,2.0
137751,1931.324525,0,176,2.0
137771,1931.344533,0,176,2.0
137791,1931.364551,0,176,2.0
137811,1931.384545,0,176,2.0
137831,1931.404543,0,176,2.0
137851,1931.424565,0,48,2.0
137871,1931.444540,0,48,2.0
137891,1931.464541,0,176,2.0
137911,1931.484540,0,48,2.0
137931,1931.504542,0,176,2.0
137951,1931.524555,0,176,2.0
137971,1931.544557,0,48,2.0
137991,1931.564555,0,48,2.0
138011,1931.584542,0,176,2.0
138031,1931.604536,0,48,2.0
138051,1931.624545,0,176,2.0
138071,1931.644534,0,176,2.0
138091,1931.664536,0,176,2.0
138111,1931.684553,0,176,2.0
138131,1931.704553,0,176,2.0
138151,1931.724553,0,176,2.0
138171,1931.744548,0,48,2.0
138191,1931.764549,0,48,2.0
138211,1931.784551,0,176,2.0
138231,1931.804550,0,176,2.0
138251,1931.824567,0,176,2.0
138271,1931.844551,0,176,2.0
138291,1931.864549,0,176,2.0
138311,1931.884548,0,48,2.0
138331,1931.904549,0,176,2.0
138351,1931.924549,0,176,2.0
138371,1931.944547,0,176,2.0
138391,1931.964509,0,176,2.0
138411,1931.984515,0,176,2.0
138431,1932.004528,0,48,2.0
138451,1932.023543,0,176,2.0
138471,1932.043542,0,176,2.0
138491,1932.063541,0,176,2.0
138511,1932.083544,0,176,2.0
138531,1932.103550,0,176,2.0
138551,1932.123540,0,176,2.0
138571,1932.143545,0,176,2.0
138591,1932.163540,0,176,2.0
138611,1932.183542,0,176,2.0
138631,1932.204541,0,176,2.0
138651,1932.223537,0,48,2.0
138671,1932.243539,0,176,2.0
138691,1932.263539,0,48,2.0
138711,1932.283541,0,48,2.0
138731,1932.303548,0,176,2.0
138751,1932.323554,0,176,2.0
138771,1932.343537,0,176,2.0
138791,1932.363539,0,176,2.0
138811,1932.383540,0,48,2.0
138831,1932.403551,0,176,2.0
138851,1932.423538,0,48,2.0
138871,1932.443537,0,48,2.0
138891,1932.463534,0,48,2.0
138911,1932.483537,0,48,2.0
138931,1932.503541,0,48,2.0
138951,1932.523543,0,176,2.0
138971,1932.543533,0,48,2.0
138991,1932.563532,0,48,2.0
139011,1932.583535,0,48,2.0
139031,1932.603536,0,48,2.0
139051,1932.623531,0,176,2.0
139071,1932.643527,0,48,2.0
139091,1932.663527,0,48,2.0
139111,1932.683532,0,176,2.0
139131,1932.703521,0,176,2.0
139151,1932.723514,0,48,2.0
139171,1932.743511,0,176,2.0
139191,1932.763530,0,176,2.0
139211,1932.783529,0,48,2.0
139231,1932.803535,0,48,2.0
139251,1932.823528,0,176,2.0
139271,1932.843524,0,176,2.0
139291,1932.863525,0,48,2.0
139311,1932.883524,0,48,2.0
139331,1932.903532,0,48,2.0
139351,1932.923545,0,176,2.0
139371,1932.943523,0,48,2.0
139391,1932.963521,0,176,2.0
139411,1932.983521,0,48,2.0
139431,1933.003530,0,176,2.0
139451,1933.023524,0,48,2.0
139471,1933.043519,0,48,2.0
139491,1933.063520,0,48,2.0
139511,1933.083522,0,48,2.0
139531,1933.103534,0,48,2.0
139551,1933.123523,0,48,2.0
139571,1933.143526,0,48,2.0
139591,1933.163520,0,176,2.0
139611,1933.183521,0,176,2.0
139631,1933.203526,0,48,2.0
139651,1933.223533,0,48,2.0
139671,1933.243518,0,176,2.0
139691,1933.263517,0,176,2.0
139711,1933.283515,0,176,2.0
139731,1933.303521,0,48,2.0
139751,1933.323514,0,48,2.0
139771,1933.343517,0,48,2.0
139791,1933.363512,0,48,2.0
139811,1933.383514,0,48,2.0
139831,1933.403522,0,48,2.0
139851,1933.422510,0,176,2.0
139871,1933.442514,0,48,2.0
139891,1933.462509,0,48,2.0
139911,1933.482511,0,176,2.0
139931,1933.502509,0,48,2.0
139951,1933.522510,0,176,2.0
139971,1933.542509,0,48,2.0
139991,1933.562508,0,48,2.0
140011,1933.582510,0,48,2.0
140031,1933.602508,0,48,2.0
140051,1933.622507,0,48,2.0
140071,1933.642508,0,176,2.0
140091,1933.662503,0,48,2.0
140111,1933.682505,0,48,2.0
140131,1933.702507,0,48,2.0
140151,1933.722492,0,48,2.0
140171,1933.742489,0,176,2.0
140191,1933.762485,0,48,2.0
140211,1933.782489,0,48,2.0
140231,1933.802487,0,48,2.0
140251,1933.822486,0,48,2.0
140271,1933.842486,0,176,2.0
140291,1933.862486,0,48,2.0
140311,1933.882488,0,48,2.0
140331,1933.902485,0,48,2.0
140351,1933.922502,0,48,2.0
140371,1933.942522,0,48,2.0
140391,1933.962492,0,48,2.0
140411,1933.982500,0,48,2.0
140431,1934.002496,0,48,2.0
140451,1934.022498,0,176,2.0
140471,1934.042502,0,176,2.0
140491,1934.062497,0,176,2.0
140511,1934.082497,0,48,2.0
140531,1934.102496,0,176,2.0
140551,1934.122495,0,48,2.0
140571,1934.142495,0,176,2.0
140591,1934.162494,0,176,2.0
140611,1934.182495,0,48,2.0
140631,1934.202491,0,48,2.0
140651,1934.222492,0,48,2.0
140671,1934.242498,0,48,2.0
140691,1934.262490,0,48,2.0
140711,1934.282492,0,176,2.0
140731,1934.302491,0,48,2.0
140751,1934.322494,0,48,2.0
140771,1934.342490,0,48,2.0
140791,1934.362488,0,48,2.0
140811,1934.382489,0,176,2.0
140831,1934.402488,0,48,2.0
140851,1934.422487,0,176,2.0
140871,1934.442486,0,48,2.0
140891,1934.462492,0,48,2.0
140911,1934.482489,0,176,2.0
140931,1934.502484,0,176,2.0
140951,1934.522486,0,48,2.0
140971,1934.542486,0,48,2.0
140991,1934.562484,0,176,2.0
141011,1934.582486,0,48,2.0
141031,1934.602484,0,48,2.0
141051,1934.622484,0,48,2.0
141071,1934.642483,0,176,2.0
141091,1934.662507,0,176,2.0
141111,1934.682483,0,48,2.0
141131,1934.702482,0,176,2.0
141151,1934.722480,0,48,2.0
141171,1934.742469,0,176,2.0
141191,1934.762468,0,48,2.0
141211,1934.782466,0,48,2.0
141231,1934.802464,0,48,2.0
141251,1934.822462,0,48,2.0
141271,1934.842462,0,48,2.0
141291,1934.862476,0,176,2.0
141311,1934.882467,0,48,2.0
141331,1934.902460,0,48,2.0
141351,1934.922477,0,48,2.0
141371,1934.942476,0,48,2.0
