cf_timestamp_ms,host_monotonic_s,range.zrange,stabilizer.roll,stabilizer.pitch
132555,1926.133111,747,-2.0686302185058594,2.7958288192749023
132575,1926.152094,747,-2.030573606491089,2.7523529529571533
132595,1926.172101,744,-1.966513752937317,2.688032388687134
132615,1926.192096,744,-1.9568753242492676,2.658529043197632
132635,1926.212107,747,-1.9766780138015747,2.6414637565612793
132655,1926.232123,747,-1.9424939155578613,2.610433578491211
132675,1926.252099,741,-1.9386224746704102,2.6309821605682373
132695,1926.273092,741,-1.9841887950897217,2.631927967071533
132715,1926.292099,744,-2.022697925567627,2.619468927383423
132735,1926.312095,744,-2.0277442932128906,2.608567953109741
132755,1926.332081,744,-2.0377581119537354,2.5271294116973877
132775,1926.352083,742,-2.051724910736084,2.488748788833618
132795,1926.373083,742,-2.0617282390594482,2.4857780933380127
132815,1926.392083,737,-2.0777032375335693,2.5060462951660156
132835,1926.412088,737,-2.111477851867676,2.5466580390930176
132855,1926.432078,747,-2.1579666137695312,2.558612823486328
132875,1926.452088,747,-2.170675277709961,2.5596916675567627
132895,1926.472079,744,-2.1524720191955566,2.559246778488159
132915,1926.492081,744,-2.1407225131988525,2.5750648975372314
132935,1926.512103,740,-2.161043882369995,2.6112711429595947
132955,1926.532106,740,-2.152996778488159,2.6045753955841064
132975,1926.552075,741,-2.1503419876098633,2.610668420791626
132995,1926.573077,741,-2.1898984909057617,2.6321210861206055
133015,1926.592079,740,-2.193269729614258,2.6104090213775635
133035,1926.612076,740,-2.14507794380188,2.5857481956481934
133055,1926.632074,740,-2.126826286315918,2.577564239501953
133075,1926.652073,745,-2.1610500812530518,2.568209648132324
133095,1926.673078,745,-2.1588003635406494,2.548499584197998
133115,1926.692081,740,-2.14711594581604,2.5369668006896973
133135,1926.712073,740,-2.1474881172180176,2.5519328117370605
133155,1926.732081,740,-2.1534323692321777,2.565967559814453
133175,1926.752080,740,-2.104382038116455,2.608121633529663
133195,1926.773084,745,-2.0636508464813232,2.6359941959381104
133215,1926.792076,745,-2.087827682495117,2.6576449871063232
133235,1926.812076,743,-2.0637528896331787,2.6990180015563965
133255,1926.832072,743,-2.027837038040161,2.7405192852020264
133275,1926.852075,742,-2.018873691558838,2.725954532623291
133295,1926.872070,742,-2.0401251316070557,2.73964786529541
133315,1926.892076,742,-2.0603673458099365,2.7443530559539795
133335,1926.912074,743,-2.044032573699951,2.7233705520629883
133355,1926.932069,743,-2.0527052879333496,2.7541732788085938
133375,1926.952070,743,-2.057842254638672,2.768321990966797
133395,1926.972077,743,-2.042022228240967,2.746708869934082
133415,1926.993071,745,-2.0465917587280273,2.7381432056427
133435,1927.012068,745,-2.0667457580566406,2.7145309448242188
133455,1927.032065,744,-2.088033437728882,2.703890323638916
133475,1927.052042,744,-2.109220504760742,2.706944465637207
133495,1927.073066,745,-2.1221330165863037,2.695474863052368
133515,1927.092066,745,-2.1294238567352295,2.693932294845581
133535,1927.112064,740,-2.12477445602417,2.666616916656494
133555,1927.132065,740,-2.1225147247314453,2.6272456645965576
133575,1927.152065,740,-2.151095390319824,2.643911123275757
133595,1927.172064,743,-2.181459665298462,2.6412017345428467
133615,1927.192072,743,-2.217067003250122,2.6981594562530518
133635,1927.212090,738,-2.2237932682037354,2.751462459564209
133655,1927.232065,738,-2.185708522796631,2.724461317062378
133675,1927.252064,744,-2.183795928955078,2.746941328048706
133695,1927.272071,744,-2.2178637981414795,2.794232130050659
133715,1927.292069,743,-2.186028480529785,2.821807861328125
133735,1927.312061,743,-2.154135227203369,2.7948741912841797
133755,1927.332078,745,-2.1666512489318848,2.7693772315979004
133775,1927.352067,745,-2.1634910106658936,2.7237088680267334
133795,1927.372065,748,-2.1253867149353027,2.7063238620758057
133815,1927.392070,748,-2.1100430488586426,2.665093183517456
133835,1927.412062,748,-2.1138999462127686,2.6212728023529053
133855,1927.432062,744,-2.1460814476013184,2.5715482234954834
133875,1927.452064,744,-2.1919162273406982,2.516294479370117
133895,1927.472060,743,-2.212397813796997,2.4599688053131104
133915,1927.492064,743,-2.2609243392944336,2.418705463409424
133935,1927.512063,743,-2.338226556777954,2.399848699569702
133955,1927.532037,743,-2.378660202026367,2.3828940391540527
133975,1927.552051,741,-2.386842727661133,2.4043853282928467
133995,1927.572058,741,-2.384800434112549,2.4237406253814697
134015,1927.592059,741,-2.4400529861450195,2.3852689266204834
134035,1927.612074,741,-2.563934087753296,2.4144389629364014
134055,1927.632034,741,-2.6630377769470215,2.410189151763916
134075,1927.652055,741,-2.665090799331665,2.4034583568573
134095,1927.672060,738,-2.6368391513824463,2.374272584915161
134115,1927.692061,738,-2.6469528675079346,2.3308465480804443
134135,1927.712058,738,-2.685190200805664,2.329136610031128
134155,1927.732026,737,-2.725349187850952,2.306894302368164
134175,1927.752052,737,-2.752438545227051,2.3005504608154297
134195,1927.772059,739,-2.7601847648620605,2.324937343597412
134215,1927.792032,739,-2.711966037750244,2.343571901321411
134235,1927.812061,740,-2.718397617340088,2.377520799636841
134255,1927.832068,740,-2.7468314170837402,2.4023025035858154
134275,1927.851047,743,-2.758807897567749,2.4249467849731445
134295,1927.872024,743,-2.706125259399414,2.4467124938964844
134315,1927.891063,739,-2.6520369052886963,2.458639621734619
134335,1927.911023,739,-2.6660454273223877,2.489140033721924
134355,1927.931047,738,-2.6397483348846436,2.444185733795166
134375,1927.951046,738,-2.6280770301818848,2.455325126647949
134395,1927.972050,738,-2.5970795154571533,2.4887776374816895
134415,1927.991049,740,-2.5478105545043945,2.4581634998321533
134435,1928.011040,740,-2.5148370265960693,2.459033489227295
134455,1928.031049,734,-2.525700330734253,2.421203136444092
134475,1928.051049,734,-2.5576419830322266,2.417534828186035
134495,1928.072049,741,-2.566938638687134,2.4340436458587646
134515,1928.092050,741,-2.568856954574585,2.432821035385132
134535,1928.111041,737,-2.5590531826019287,2.4077019691467285
134555,1928.132043,737,-2.532517671585083,2.4011640548706055
134575,1928.151042,738,-2.563892126083374,2.410585403442383
134595,1928.172044,738,-2.605168104171753,2.4142708778381348
134615,1928.191058,743,-2.605438470840454,2.442716360092163
134635,1928.211041,743,-2.5662753582000732,2.4631073474884033
134655,1928.232039,742,-2.590001344680786,2.474531650543213
134675,1928.251036,742,-2.646636486053467,2.444654941558838
134695,1928.272042,742,-2.623784065246582,2.43597149848938
134715,1928.291056,739,-2.5920259952545166,2.450742244720459
134735,1928.312038,739,-2.615370750427246,2.5145671367645264
134755,1928.331037,741,-2.635063886642456,2.540982246398926
134775,1928.351043,741,-2.6599538326263428,2.5287349224090576
134795,1928.372042,738,-2.6935455799102783,2.5384907722473145
134815,1928.391052,738,-2.6822428703308105,2.5433974266052246
134835,1928.411039,742,-2.6717944145202637,2.53955078125
134855,1928.432039,742,-2.6862688064575195,2.553018808364868
134875,1928.451044,735,-2.6812052726745605,2.548600673675537
134895,1928.472041,735,-2.7063956260681152,2.544330358505249
134915,1928.491052,738,-2.7749273777008057,2.561124801635742
134935,1928.512036,738,-2.8030858039855957,2.602720260620117
134955,1928.531037,738,-2.750999927520752,2.59600830078125
134975,1928.551038,736,-2.757505416870117,2.610060691833496
134995,1928.573036,736,-2.809107780456543,2.6242456436157227
135015,1928.591075,739,-2.8351428508758545,2.669858455657959
135035,1928.611039,739,-2.7816615104675293,2.672290325164795
135055,1928.631035,741,-2.7549030780792236,2.6806623935699463
135075,1928.651035,741,-2.775190591812134,2.695173978805542
135095,1928.672045,741,-2.7600810527801514,2.6867473125457764
135115,1928.691024,741,-2.7453973293304443,2.6953823566436768
135135,1928.711034,738,-2.777883768081665,2.7156949043273926
135155,1928.731024,738,-2.8108363151550293,2.7201104164123535
135175,1928.751031,741,-2.7978904247283936,2.731071949005127
135195,1928.772034,741,-2.780745506286621,2.7181828022003174
135215,1928.791034,737,-2.8172249794006348,2.728121519088745
135235,1928.811022,737,-2.788789749145508,2.729404926300049
135255,1928.832023,737,-2.7352216243743896,2.730804681777954
135275,1928.851019,742,-2.720081329345703,2.744837760925293
135295,1928.872033,742,-2.6834850311279297,2.7782976627349854
135315,1928.891024,742,-2.6356236934661865,2.823258638381958
135335,1928.911021,742,-2.6111624240875244,2.8745157718658447
135355,1928.932020,742,-2.6222927570343018,2.9151594638824463
135375,1928.951028,742,-2.6098275184631348,2.9265296459198
135395,1928.973032,741,-2.5642833709716797,2.911999464035034
135415,1928.992021,741,-2.534435510635376,2.895969867706299
135435,1929.011020,744,-2.526618480682373,2.8940327167510986
135455,1929.032019,744,-2.484044075012207,2.892151355743408
135475,1929.051020,740,-2.4564521312713623,2.8999414443969727
135495,1929.072029,740,-2.4573864936828613,2.915572166442871
135515,1929.092018,739,-2.474545955657959,2.873870611190796
135535,1929.111020,739,-2.466890573501587,2.869199752807617
135555,1929.132020,739,-2.431813955307007,2.887240409851074
135575,1929.150016,746,-2.4316565990448,2.9105796813964844
135595,1929.172029,746,-2.4620516300201416,2.9334986209869385
135615,1929.190013,742,-2.499130964279175,2.9304981231689453
135635,1929.210013,742,-2.528839111328125,2.913935422897339
135655,1929.230017,745,-2.5283069610595703,2.8806684017181396
135675,1929.251017,745,-2.5027897357940674,2.822249174118042
135695,1929.272028,743,-2.5178208351135254,2.787278175354004
135715,1929.290014,743,-2.561613082885742,2.755709409713745
135735,1929.310011,743,-2.6047449111938477,2.7425382137298584
135755,1929.330016,743,-2.5450973510742188,2.739320755004883
135775,1929.350013,744,-2.5174121856689453,2.6943938732147217
135795,1929.370021,744,-2.599543571472168,2.7024033069610596
135815,1929.390013,744,-2.624455690383911,2.7042009830474854
135835,1929.410012,747,-2.5764834880828857,2.7014262676239014
135855,1929.431013,747,-2.5819759368896484,2.7299745082855225
135875,1929.450011,746,-2.6228654384613037,2.7368075847625732
135895,1929.470016,746,-2.6239187717437744,2.7146477699279785
135915,1929.490032,744,-2.656193971633911,2.7189736366271973
