cf_timestamp_ms,host_monotonic_s,motion.deltaX,motion.deltaY,motion.shutter,motion.squal
183750,1977.290972,0,-1,3224,142
183770,1977.310911,0,1,3224,140
183790,1977.330906,0,0,3224,143
183810,1977.350904,0,0,3224,143
183830,1977.370909,0,0,3224,144
183850,1977.390923,0,0,3224,139
183870,1977.410904,0,0,3224,143
183890,1977.430899,0,0,3224,146
183910,1977.450903,0,0,3224,135
183930,1977.469912,0,0,3224,141
183950,1977.489905,0,2,3224,142
183970,1977.509903,0,-2,3224,139
183990,1977.529898,0,0,3224,143
184010,1977.549898,0,-1,3224,141
184030,1977.569903,1,1,3224,149
184050,1977.589896,1,-1,3224,144
184070,1977.609898,0,0,3224,141
184090,1977.629898,1,0,3224,142
184110,1977.649899,0,0,3224,143
184130,1977.669908,0,0,3224,147
184150,1977.689900,0,1,3224,145
184170,1977.709894,0,0,3224,142
184190,1977.729896,0,0,3224,140
184210,1977.749902,0,0,3224,145
184230,1977.769907,0,0,3224,142
184250,1977.789892,0,0,3224,141
184270,1977.809895,0,0,3224,138
184290,1977.829889,0,0,3224,141
184310,1977.850896,0,-1,3224,137
184330,1977.869906,0,0,3224,140
184350,1977.889891,0,0,3224,139
184370,1977.909894,0,0,3224,139
184390,1977.929889,0,0,3224,142
184410,1977.950910,0,0,3224,141
184430,1977.969905,0,0,3224,140
184450,1977.989888,1,0,3224,138
184470,1978.009890,0,0,3224,147
184490,1978.029887,0,0,3224,139
184510,1978.050896,0,0,3224,137
184530,1978.069912,0,0,3224,138
184550,1978.089882,0,0,3224,141
184570,1978.109891,0,0,3224,143
184590,1978.129887,0,-2,3224,139
184610,1978.150894,0,0,3224,138
184630,1978.169890,0,0,3224,142
184650,1978.189886,0,2,3224,142
184670,1978.209882,-1,-2,3224,136
184690,1978.229882,0,1,3224,144
184710,1978.249881,0,0,3224,139
184730,1978.269887,0,-2,3224,138
184750,1978.289880,0,1,3224,139
184770,1978.309916,0,1,3224,139
184790,1978.329884,0,0,3224,138
184810,1978.349884,0,0,3224,141
184830,1978.369889,0,0,3224,141
184850,1978.389877,0,0,3224,138
184870,1978.409879,0,0,3224,137
184890,1978.429875,0,0,3224,136
184910,1978.449876,0,0,3224,139
184930,1978.469882,0,0,3224,136
184950,1978.489876,0,0,3224,143
184970,1978.509879,0,0,3224,143
184990,1978.529905,0,0,3224,139
185010,1978.549880,-2,0,3224,137
185030,1978.569881,0,0,3224,141
185050,1978.589871,0,0,3224,136
185070,1978.609874,-1,0,3224,138
185090,1978.629869,0,0,3224,135
185110,1978.649871,1,0,3224,140
185130,1978.669879,0,0,3224,142
185150,1978.689869,0,1,3224,137
185170,1978.709874,0,0,3224,136
185190,1978.729477,1,0,3224,146
185210,1978.749452,0,0,3224,140
185230,1978.769462,0,0,3224,147
185250,1978.789448,0,0,3224,141
185270,1978.809448,0,0,3224,138
185290,1978.829457,0,0,3224,142
185310,1978.849449,0,0,3224,143
185330,1978.869456,0,0,3224,136
185350,1978.889442,0,0,3224,137
185370,1978.909450,0,0,3224,138
185390,1978.929442,0,0,3224,138
185410,1978.949521,0,0,3224,141
185430,1978.969458,0,0,3224,144
185450,1978.989441,0,0,3224,140
185470,1979.009444,0,0,3224,139
185490,1979.029441,0,0,3224,139
185510,1979.049441,0,0,3224,140
185530,1979.069453,0,0,3224,136
185550,1979.089440,0,0,3224,136
185570,1979.109450,0,0,3224,139
185590,1979.129438,0,0,3224,143
185610,1979.149438,0,0,3224,142
185630,1979.169474,0,0,3224,142
185650,1979.189436,0,0,3224,142
185670,1979.209442,0,0,3224,144
185690,1979.229435,0,0,3023,143
185710,1979.249437,-1,0,3023,143
185730,1979.269449,1,0,3023,138
185750,1979.289434,0,0,3023,139
185770,1979.309436,0,0,3023,145
185790,1979.329434,1,0,3023,138
185810,1979.349437,0,0,3023,139
185830,1979.369451,0,0,3023,143
185850,1979.389439,0,0,3023,140
185870,1979.409435,0,0,3023,142
185890,1979.429431,0,0,3023,144
185910,1979.449431,0,0,3023,145
185930,1979.469462,0,0,3023,143
185950,1979.489432,0,0,3023,143
185970,1979.509435,0,0,3023,148
185990,1979.528428,0,0,3023,138
186010,1979.548427,0,0,3023,139
186030,1979.568429,0,0,3023,139
186050,1979.588431,0,0,3023,145
186070,1979.608435,0,0,3023,139
186090,1979.628429,0,0,3023,146
186110,1979.648429,0,0,3023,143
186130,1979.668429,-1,0,3023,134
186150,1979.688429,0,0,3023,138
186170,1979.708449,0,0,3023,141
186190,1979.728425,0,0,3023,137
186210,1979.748424,0,0,3023,137
186230,1979.768427,-1,0,3023,134
186250,1979.788443,0,0,3023,137
186270,1979.808852,0,0,3023,134
186290,1979.828844,-1,0,3023,136
186310,1979.848846,0,0,3023,137
186330,1979.868841,0,0,2835,137
186350,1979.888843,1,0,2835,135
186370,1979.908849,0,0,2835,135
186390,1979.928433,1,0,2835,136
186410,1979.948427,0,0,2835,135
186430,1979.968423,0,0,2835,137
186450,1979.988421,0,0,2835,129
186470,1980.008420,0,0,2835,139
186490,1980.028421,0,0,2835,133
186510,1980.048420,0,0,2835,141
186530,1980.068414,0,0,2835,132
186550,1980.088417,0,-1,2835,141
186570,1980.108417,0,0,2835,138
186590,1980.128412,0,0,2835,140
186610,1980.148415,0,0,2835,135
186630,1980.168412,0,0,2835,135
186650,1980.188414,0,0,2835,130
186670,1980.208419,0,0,2835,137
186690,1980.228420,0,0,2835,135
186710,1980.248415,-1,0,2835,139
186730,1980.268413,0,0,2835,138
186750,1980.288410,0,1,2835,138
186770,1980.308416,0,0,2835,140
186790,1980.328409,-1,0,2835,139
186810,1980.348409,0,0,2835,134
186830,1980.368407,0,0,2835,138
186850,1980.388408,0,0,2835,136
186870,1980.408411,0,0,2835,139
186890,1980.428406,0,0,2835,137
186910,1980.448412,0,0,2835,139
186930,1980.468409,0,0,2835,141
186950,1980.488405,0,0,2835,138
186970,1980.508403,0,-1,2835,140
186990,1980.528404,0,0,2835,138
187010,1980.548405,0,0,2835,135
187030,1980.568403,0,0,2835,139
187050,1980.588407,0,0,2835,137
187070,1980.608406,0,0,2835,137
187090,1980.628402,0,0,2835,139
187110,1980.648404,0,0,2835,138
187130,1980.668406,0,0,2835,138
187150,1980.688402,-1,0,2835,133
187170,1980.708405,0,0,2835,131
187190,1980.728399,1,0,2835,137
187210,1980.748400,0,0,2835,134
187230,1980.768405,1,0,2835,138
187250,1980.788396,0,0,2835,136
187270,1980.808408,0,0,2835,138
187290,1980.828399,0,0,2835,132
187310,1980.847396,0,0,2835,141
187330,1980.868407,0,0,2835,133
187350,1980.887397,0,0,2835,134
187370,1980.908401,-1,0,2835,131
187390,1980.927396,0,-1,2835,136
187410,1980.947398,0,0,2835,132
187430,1980.967397,0,0,2835,132
187450,1980.987393,0,0,2835,135
187470,1981.007414,0,0,2835,133
187490,1981.027393,0,0,2835,131
187510,1981.047392,0,0,2835,132
187530,1981.067394,1,0,2835,134
187550,1981.087398,0,0,2835,132
187570,1981.107393,0,0,2835,135
187590,1981.127390,1,0,2835,137
187610,1981.147389,0,0,2835,134
187630,1981.167392,0,0,2835,131
187650,1981.187395,0,0,2835,131
187670,1981.207387,1,0,2835,134
187690,1981.227387,0,0,2835,134
187710,1981.247387,0,0,2835,136
187730,1981.267390,0,0,2835,131
187750,1981.287393,0,0,2835,130
187770,1981.307388,0,0,2835,132
187790,1981.327353,0,0,2835,132
187810,1981.347346,0,0,2835,137
187830,1981.367363,-1,0,2835,132
187850,1981.387366,1,0,2835,134
187870,1981.407368,0,0,2835,136
187890,1981.427359,0,-1,2835,133
187910,1981.447358,0,0,2835,133
187930,1981.467356,0,0,2835,131
187950,1981.487359,0,0,2835,135
187970,1981.507374,0,0,2835,134
187990,1981.527357,-1,0,2835,132
188010,1981.547357,0,0,2835,133
188030,1981.567356,0,0,2835,135
188050,1981.587360,0,0,2835,132
188070,1981.607363,0,0,2835,134
188090,1981.627353,-1,0,2835,139
188110,1981.647354,0,0,2835,133
188130,1981.667355,0,0,2835,136
188150,1981.687359,-1,-1,2835,131
188170,1981.707377,0,0,2835,137
188190,1981.727357,0,0,2835,132
188210,1981.747350,0,0,2835,131
188230,1981.767352,0,0,2835,134
188250,1981.787354,0,0,2835,133
188270,1981.807356,0,0,2835,136
188290,1981.827350,0,0,2835,134
188310,1981.847382,0,0,2835,140
188330,1981.867381,0,0,2835,131
188350,1981.887388,0,0,2835,135
188370,1981.907414,0,0,2835,129
188390,1981.927381,0,0,2835,134
188410,1981.947382,0,0,2835,131
188430,1981.967380,0,0,2835,136
188450,1981.987384,0,0,2835,133
188470,1982.007394,0,0,2835,135
188490,1982.027380,0,0,2835,132
188510,1982.047376,0,0,2835,133
188530,1982.067374,0,0,2835,133
188550,1982.087382,0,0,2835,138
188570,1982.107376,0,0,2835,135
188590,1982.127378,0,0,2835,135
188610,1982.147377,0,0,2835,131
188630,1982.167396,0,0,2835,133
188650,1982.187383,0,0,2835,138
188670,1982.207396,0,0,2835,132
188690,1982.227371,0,0,2835,133
188710,1982.247371,0,0,2835,134
188730,1982.267372,-1,0,2835,130
188750,1982.287378,0,0,2835,132
188770,1982.306367,0,0,2835,130
188790,1982.326374,0,0,2835,127
188810,1982.347370,0,0,2835,127
188830,1982.367375,0,0,2835,128
188850,1982.387401,0,-1,2835,131
188870,1982.406367,-1,0,2835,129
188890,1982.427370,0,0,3012,128
188910,1982.447369,0,0,3012,133
188930,1982.467366,0,0,3012,126
188950,1982.486372,0,0,3012,128
188970,1982.506366,0,0,3012,132
188990,1982.526397,0,0,3012,129
189010,1982.546378,0,0,3012,129
189030,1982.566365,0,0,3012,131
189050,1982.586372,-1,0,3012,134
189070,1982.606361,-1,0,3012,132
189090,1982.626363,0,0,3012,136
189110,1982.646363,0,0,3012,137
189130,1982.666359,-1,-1,3012,131
189150,1982.686367,-1,-1,3012,136
189170,1982.706363,0,0,3012,135
189190,1982.726391,0,0,3012,138
189210,1982.746364,0,-1,3012,133
189230,1982.766362,0,0,3012,139
189250,1982.786367,0,0,3012,133
189270,1982.806364,0,0,3012,136
189290,1982.826360,0,0,3012,137
189310,1982.846355,0,0,3012,135
189330,1982.866778,0,1,3012,137
189350,1982.886784,0,0,3012,138
189370,1982.906778,0,0,3012,134
189390,1982.926807,0,0,3012,143
189410,1982.946776,0,0,3012,132
189430,1982.966778,0,-1,3012,133
189450,1982.986784,0,1,3012,135
189470,1983.006771,0,0,3200,140
189490,1983.026777,0,-1,3200,142
189510,1983.046774,0,0,3200,138
