cf_timestamp_ms,host_monotonic_s,motion.deltaX,motion.deltaY,motion.shutter,motion.squal
62110,1855.737717,-6,0,8191,63
62130,1855.757734,0,1,8191,55
62150,1855.777710,-3,-2,8191,63
62170,1855.797706,-4,0,8191,69
62190,1855.817711,1,-4,8191,61
62210,1855.837709,-4,0,8191,64
62230,1855.857698,-4,0,8191,68
62250,1855.877706,0,-2,8191,70
62270,1855.897705,2,5,8191,59
62290,1855.917702,0,2,8191,63
62310,1855.937705,0,-1,8191,59
62330,1855.957677,-4,-1,8191,64
62350,1855.977702,0,1,8191,55
62370,1855.997702,3,3,8191,66
62390,1856.017700,0,3,8191,58
62410,1856.037702,-3,1,8191,64
62430,1856.057753,-1,3,8191,63
62450,1856.077702,-1,-2,8191,69
62470,1856.097696,0,0,8191,70
62490,1856.117697,0,0,8191,64
62510,1856.137701,-7,1,8191,69
62530,1856.157707,-2,-2,8191,69
62550,1856.177703,-7,0,8191,60
62570,1856.197698,-1,1,8191,56
62590,1856.217695,0,0,8191,62
62610,1856.237703,3,4,8191,55
62630,1856.257706,0,0,8191,71
62650,1856.277710,0,-1,8191,64
62670,1856.297696,0,0,8191,68
62690,1856.317698,7,0,8191,62
62710,1856.337700,0,1,8191,60
62730,1856.357701,0,0,8191,69
62750,1856.377695,-1,1,8191,67
62770,1856.397693,0,0,8191,70
62790,1856.417694,5,-1,8191,69
62810,1856.437697,3,0,8191,74
62830,1856.457702,-1,0,8191,64
62850,1856.477698,2,4,8191,61
62870,1856.497698,0,-2,8191,58
62890,1856.516694,0,0,8191,68
62910,1856.537689,0,0,8191,56
62930,1856.556691,-3,0,8191,61
62950,1856.576718,2,-1,8191,73
62970,1856.596691,0,0,8191,73
62990,1856.616688,-2,-1,8191,70
63010,1856.636686,-2,3,8191,74
63030,1856.656686,1,2,8191,63
63050,1856.676687,0,0,8191,63
63070,1856.696687,0,-1,8191,58
63090,1856.716689,-2,-7,8191,60
63110,1856.736685,0,0,8191,70
63130,1856.756696,-1,-1,8191,59
63150,1856.776685,-1,1,8191,65
63170,1856.796684,-1,0,8191,59
63190,1856.816686,0,0,8191,65
63210,1856.836686,-3,1,8191,69
63230,1856.856682,-2,-1,8191,60
63250,1856.876683,0,-3,8191,74
63270,1856.896680,-4,4,8191,65
63290,1856.916694,0,-3,8191,68
63310,1856.936683,-3,-2,8191,70
63330,1856.956679,-8,-1,8191,64
63350,1856.976681,0,0,8191,65
63370,1856.996678,1,0,8191,57
63390,1857.016624,-1,-1,8191,60
63410,1857.036639,5,-5,8191,69
63430,1857.056641,0,1,8191,60
63450,1857.076642,2,-5,8191,66
63470,1857.096752,-4,0,8191,60
63490,1857.116678,0,0,8191,72
63510,1857.136675,-7,0,8191,63
63530,1857.156674,-8,1,8191,59
63550,1857.176673,0,-1,8191,72
63570,1857.196678,-3,1,8191,72
63590,1857.216673,-1,-2,8191,71
63610,1857.236670,3,2,8191,69
63630,1857.256671,0,0,8191,70
63650,1857.276676,1,0,8191,67
63670,1857.296715,0,2,8191,62
63690,1857.316674,-4,-3,8191,54
63710,1857.336670,4,-1,8191,60
63730,1857.356672,0,0,8191,54
63750,1857.376670,0,-1,8191,70
63770,1857.396672,0,2,8191,56
63790,1857.416671,2,0,8191,67
63810,1857.436668,-3,-1,8191,63
63830,1857.456666,-2,0,8191,67
63850,1857.476676,4,-5,8191,71
63870,1857.496670,-3,0,8191,66
63890,1857.516679,0,0,8191,64
63910,1857.536666,0,0,8191,71
63930,1857.556672,0,1,8191,64
63950,1857.576668,3,3,8191,66
63970,1857.596664,-2,-8,8191,55
