cf_timestamp_ms,host_monotonic_s,motion.outlierCount,motion.motion,motion.std
62111,1855.738780,0,176,2.0
62131,1855.758705,0,176,2.0
62151,1855.778704,0,176,2.0
62171,1855.798703,0,176,2.0
62191,1855.818704,0,176,2.0
62211,1855.838703,0,176,2.0
62231,1855.858699,0,176,2.0
62251,1855.878703,0,176,2.0
62271,1855.898702,0,176,2.0
62291,1855.918702,0,176,2.0
62311,1855.938700,0,176,2.0
62331,1855.958670,0,176,2.0
62351,1855.978700,0,176,2.0
62371,1855.998697,0,176,2.0
62391,1856.018697,0,176,2.0
62411,1856.038700,0,176,2.0
62431,1856.058696,0,176,2.0
62451,1856.078702,0,176,2.0
62471,1856.098695,0,48,2.0
62491,1856.118696,0,48,2.0
62511,1856.138698,0,176,2.0
62531,1856.158698,0,176,2.0
62551,1856.178699,0,176,2.0
62571,1856.198697,0,176,2.0
62591,1856.218695,0,48,2.0
62611,1856.238694,0,176,2.0
62631,1856.258700,0,48,2.0
62651,1856.278712,0,176,2.0
62671,1856.298696,0,48,2.0
62691,1856.318693,0,176,2.0
62711,1856.338696,0,176,2.0
62731,1856.358693,0,48,2.0
62751,1856.378695,0,176,2.0
62771,1856.398689,0,48,2.0
62791,1856.418692,0,176,2.0
62811,1856.438694,0,176,2.0
62831,1856.458697,0,176,2.0
62851,1856.478710,0,176,2.0
62871,1856.498691,0,176,2.0
62891,1856.517691,0,48,2.0
62911,1856.538689,0,48,2.0
62931,1856.557710,0,176,2.0
62951,1856.578697,0,176,2.0
62971,1856.597692,0,48,2.0
62991,1856.617690,0,176,2.0
63011,1856.637686,0,176,2.0
63031,1856.657690,0,176,2.0
63051,1856.677687,0,48,2.0
63071,1856.697682,0,176,2.0
63091,1856.717684,0,176,2.0
63111,1856.737682,0,48,2.0
63131,1856.757700,0,176,2.0
63151,1856.777687,0,176,2.0
63171,1856.797683,0,176,2.0
63191,1856.817685,0,48,2.0
63211,1856.837686,0,176,2.0
63231,1856.857685,0,176,2.0
63251,1856.877688,0,176,2.0
63271,1856.897681,0,176,2.0
63291,1856.917687,0,176,2.0
63311,1856.937685,0,176,2.0
63331,1856.957707,0,176,2.0
63351,1856.977680,0,48,2.0
63371,1856.997678,0,176,2.0
63391,1857.017641,0,176,2.0
63411,1857.037639,0,176,2.0
63431,1857.057639,0,176,2.0
63451,1857.077638,0,176,2.0
63471,1857.097750,0,176,2.0
63491,1857.117676,0,48,2.0
63511,1857.137677,0,176,2.0
63531,1857.157681,0,176,2.0
63551,1857.177671,0,176,2.0
63571,1857.197672,0,176,2.0
63591,1857.217670,0,176,2.0
63611,1857.237677,0,176,2.0
63631,1857.257679,0,48,2.0
63651,1857.277671,0,176,2.0
63671,1857.297691,0,176,2.0
63691,1857.317669,0,176,2.0
63711,1857.337673,0,176,2.0
63731,1857.357680,0,48,2.0
63751,1857.377669,0,176,2.0
63771,1857.397669,0,176,2.0
63791,1857.417668,0,176,2.0
63811,1857.437670,0,176,2.0
63831,1857.457675,0,176,2.0
63851,1857.477666,0,176,2.0
63871,1857.497666,0,176,2.0
63891,1857.517683,0,48,2.0
63911,1857.537670,0,48,2.0
63931,1857.557673,0,176,2.0
63951,1857.577678,0,176,2.0
63971,1857.597664,0,176,2.0
63991,1857.617662,0,48,2.0
64011,1857.637664,0,176,2.0
64031,1857.657673,0,176,2.0
64051,1857.677661,0,176,2.0
64071,1857.697659,0,176,2.0
64091,1857.717668,0,176,2.0
64111,1857.737662,0,176,2.0
64131,1857.757673,0,176,2.0
64151,1857.777659,0,176,2.0
64171,1857.797657,0,48,2.0
64191,1857.817657,0,176,2.0
64211,1857.837661,0,176,2.0
64231,1857.857654,0,176,2.0
64251,1857.877657,0,176,2.0
64271,1857.897656,0,176,2.0
64291,1857.917656,0,176,2.0
64311,1857.937663,0,48,2.0
64331,1857.957671,0,176,2.0
64351,1857.977653,0,176,2.0
64371,1857.996660,0,176,2.0
64391,1858.016656,0,176,2.0
64411,1858.036650,0,176,2.0
64431,1858.056653,0,176,2.0
64451,1858.077655,0,176,2.0
64471,1858.097649,0,48,2.0
64491,1858.117652,0,176,2.0
64511,1858.137658,0,176,2.0
64531,1858.156652,0,176,2.0
64551,1858.176650,0,176,2.0
64571,1858.196644,0,176,2.0
64591,1858.216648,0,176,2.0
64611,1858.236646,0,176,2.0
64631,1858.256647,0,176,2.0
64651,1858.276650,0,176,2.0
64671,1858.296644,0,176,2.0
64691,1858.316652,0,176,2.0
64711,1858.336646,0,176,2.0
64731,1858.356648,0,176,2.0
64751,1858.376650,0,176,2.0
64771,1858.396646,0,176,2.0
64791,1858.416644,0,176,2.0
64811,1858.436642,0,48,2.0
64831,1858.456643,0,176,2.0
64851,1858.476646,0,176,2.0
64871,1858.496642,0,176,2.0
64891,1858.516648,0,176,2.0
64911,1858.536639,0,176,2.0
64931,1858.556643,0,176,2.0
64951,1858.576637,0,176,2.0
64971,1858.596642,0,176,2.0
64991,1858.616638,0,176,2.0
65011,1858.636643,0,48,2.0
65031,1858.656639,0,176,2.0
65051,1858.676640,0,176,2.0
65071,1858.696639,0,176,2.0
65091,1858.716638,0,176,2.0
65111,1858.736637,0,176,2.0
65131,1858.756637,0,48,2.0
65151,1858.776633,0,48,2.0
65171,1858.796635,0,176,2.0
65191,1858.816634,0,176,2.0
65211,1858.836637,0,176,2.0
65231,1858.856633,0,48,2.0
65251,1858.876635,0,176,2.0
65271,1858.896632,0,176,2.0
65291,1858.916630,0,176,2.0
65311,1858.936639,0,176,2.0
65331,1858.956664,0,176,2.0
65351,1858.976628,0,176,2.0
65371,1858.996633,0,176,2.0
65391,1859.016630,0,48,2.0
65411,1859.036629,0,48,2.0
65431,1859.056631,0,176,2.0
65451,1859.076633,0,176,2.0
65471,1859.096629,0,48,2.0
65491,1859.116625,0,176,2.0
65511,1859.136628,0,176,2.0
65531,1859.156629,0,176,2.0
65551,1859.176628,0,176,2.0
