cf_timestamp_ms,host_monotonic_s,sensorFilter.flowRange,sensorFilter.flowLocal,sensorFilter.surfOffset,sensorFilter.surfCand,sensorFilter.surfClear
62112,1855.739745,0.0,0,0.0,0.0,0.0
62132,1855.759720,0.0,0,0.0,0.0,0.0
62152,1855.779718,0.0,0,0.0,0.0,0.0
62172,1855.799709,0.0,0,0.0,0.0,0.0
62192,1855.819744,0.0,0,0.0,0.0,0.0
62212,1855.839713,0.0,0,0.0,0.0,0.0
62232,1855.859707,0.0,0,0.0,0.0,0.0
62252,1855.879716,0.0,0,0.0,0.0,0.0
62272,1855.899707,0.0,0,0.0,0.0,0.0
62292,1855.919709,0.0,0,0.0,0.0,0.0
62312,1855.939707,0.0,0,0.0,0.0,0.0
62332,1855.959681,0.0,0,0.0,0.0,0.0
62352,1855.979709,0.0,0,0.0,0.0,0.0
62372,1855.999708,0.0,0,0.0,0.0,0.0
62392,1856.019705,0.0,0,0.0,0.0,0.0
62412,1856.039709,0.0,0,0.0,0.0,0.0
62432,1856.059706,0.0,0,0.0,0.0,0.0
62452,1856.079711,0.0,0,0.0,0.0,0.0
62472,1856.099704,0.0,0,0.0,0.0,0.0
62492,1856.119706,0.0,0,0.0,0.0,0.0
62512,1856.139709,0.0,0,0.0,0.0,0.0
62532,1856.159711,0.0,0,0.0,0.0,0.0
62552,1856.179706,0.0,0,0.0,0.0,0.0
62572,1856.199709,0.0,0,0.0,0.0,0.0
62592,1856.219702,0.0,0,0.0,0.0,0.0
62612,1856.239701,0.0,0,0.0,0.0,0.0
62632,1856.259705,0.0,0,0.0,0.0,0.0
62652,1856.279746,0.0,0,0.0,0.0,0.0
62672,1856.299704,0.0,0,0.0,0.0,0.0
62692,1856.319703,0.0,0,0.0,0.0,0.0
62712,1856.339702,0.0,0,0.0,0.0,0.0
62732,1856.359704,0.0,0,0.0,0.0,0.0
62752,1856.379702,0.0,0,0.0,0.0,0.0
62772,1856.399700,0.0,0,0.0,0.0,0.0
62792,1856.419700,0.0,0,0.0,0.0,0.0
62812,1856.439700,0.0,0,0.0,0.0,0.0
62832,1856.459704,0.0,0,0.0,0.0,0.0
62852,1856.479719,0.0,0,0.0,0.0,0.0
62872,1856.499700,0.0,0,0.0,0.0,0.0
62892,1856.519700,0.0,0,0.0,0.0,0.0
62912,1856.539698,0.0,0,0.0,0.0,0.0
62932,1856.559700,0.0,0,0.0,0.0,0.0
62952,1856.579702,0.0,0,0.0,0.0,0.0
62972,1856.599698,0.0,0,0.0,0.0,0.0
62992,1856.619695,0.0,0,0.0,0.0,0.0
63012,1856.639698,0.0,0,0.0,0.0,0.0
63032,1856.659713,0.0,0,0.0,0.0,0.0
63052,1856.679720,0.0,0,0.0,0.0,0.0
63072,1856.699695,0.0,0,0.0,0.0,0.0
63092,1856.719693,0.0,0,0.0,0.0,0.0
63112,1856.739693,0.0,0,0.0,0.0,0.0
63132,1856.759700,0.0,0,0.0,0.0,0.0
63152,1856.779700,0.0,0,0.0,0.0,0.0
63172,1856.799692,0.0,0,0.0,0.0,0.0
63192,1856.819714,0.0,0,0.0,0.0,0.0
63212,1856.839692,0.0,0,0.0,0.0,0.0
63232,1856.859694,0.0,0,0.0,0.0,0.0
63252,1856.879715,0.0,0,0.0,0.0,0.0
63272,1856.899690,0.0,0,0.0,0.0,0.0
63293,1856.919696,0.0,0,0.0,0.0,0.0
63313,1856.939686,0.0,0,0.0,0.0,0.0
63333,1856.959690,0.0,0,0.0,0.0,0.0
63353,1856.979693,0.0,0,0.0,0.0,0.0
63373,1856.999686,0.0,0,0.0,0.0,0.0
63393,1857.019650,0.0,0,0.0,0.0,0.0
63413,1857.039647,0.0,0,0.0,0.0,0.0
63433,1857.059651,0.0,0,0.0,0.0,0.0
63453,1857.079658,0.0,0,0.0,0.0,0.0
63472,1857.099706,0.0,0,0.0,0.0,0.0
63493,1857.119685,0.0,0,0.0,0.0,0.0
63512,1857.139685,0.0,0,0.0,0.0,0.0
63532,1857.159683,0.0,0,0.0,0.0,0.0
63552,1857.179679,0.0,0,0.0,0.0,0.0
63573,1857.199681,0.0,0,0.0,0.0,0.0
63593,1857.219680,0.0,0,0.0,0.0,0.0
63612,1857.239677,0.0,0,0.0,0.0,0.0
63633,1857.259680,0.0,0,0.0,0.0,0.0
63653,1857.279678,0.0,0,0.0,0.0,0.0
63672,1857.298687,0.0,0,0.0,0.0,0.0
63692,1857.319677,0.0,0,0.0,0.0,0.0
63712,1857.339676,0.0,0,0.0,0.0,0.0
63733,1857.359678,0.0,0,0.0,0.0,0.0
63752,1857.379674,0.0,0,0.0,0.0,0.0
63772,1857.399680,0.0,0,0.0,0.0,0.0
63792,1857.419675,0.0,0,0.0,0.0,0.0
63812,1857.438678,0.0,0,0.0,0.0,0.0
63832,1857.458714,0.0,0,0.0,0.0,0.0
63852,1857.478673,0.0,0,0.0,0.0,0.0
63872,1857.498675,0.0,0,0.0,0.0,0.0
63892,1857.518680,0.0,0,0.0,0.0,0.0
63912,1857.538676,0.0,0,0.0,0.0,0.0
63932,1857.558675,0.0,0,0.0,0.0,0.0
63952,1857.578675,0.0,0,0.0,0.0,0.0
63972,1857.598670,0.0,0,0.0,0.0,0.0
63992,1857.618672,0.0,0,0.0,0.0,0.0
64012,1857.638672,0.0,0,0.0,0.0,0.0
64032,1857.658677,0.0,0,0.0,0.0,0.0
64052,1857.678670,0.0,0,0.0,0.0,0.0
64072,1857.698669,0.0,0,0.0,0.0,0.0
64092,1857.718673,0.0,0,0.0,0.0,0.0
64112,1857.738671,0.0,0,0.0,0.0,0.0
64132,1857.758675,0.0,0,0.0,0.0,0.0
64152,1857.778670,0.0,0,0.0,0.0,0.0
