cf_timestamp_ms,host_monotonic_s,sensorFilter.surfBefore,sensorFilter.surfAfter,sensorFilter.surfDelta,sensorFilter.surfSign
62113,1855.740734,0.0,0.0,0.0,0
62133,1855.760711,0.0,0.0,0.0,0
62153,1855.780709,0.0,0.0,0.0,0
62173,1855.800708,0.0,0.0,0.0,0
62193,1855.820722,0.0,0.0,0.0,0
62213,1855.840719,0.0,0.0,0.0,0
62233,1855.860713,0.0,0.0,0.0,0
62253,1855.880707,0.0,0.0,0.0,0
62273,1855.900706,0.0,0.0,0.0,0
62293,1855.920710,0.0,0.0,0.0,0
62313,1855.940702,0.0,0.0,0.0,0
62333,1855.960680,0.0,0.0,0.0,0
62353,1855.980708,0.0,0.0,0.0,0
62373,1856.000702,0.0,0.0,0.0,0
62393,1856.020708,0.0,0.0,0.0,0
62413,1856.040721,0.0,0.0,0.0,0
62433,1856.060707,0.0,0.0,0.0,0
62453,1856.080707,0.0,0.0,0.0,0
62473,1856.100702,0.0,0.0,0.0,0
62493,1856.120705,0.0,0.0,0.0,0
62513,1856.140702,0.0,0.0,0.0,0
62533,1856.160710,0.0,0.0,0.0,0
62553,1856.180705,0.0,0.0,0.0,0
62573,1856.200703,0.0,0.0,0.0,0
62593,1856.220703,0.0,0.0,0.0,0
62613,1856.240711,0.0,0.0,0.0,0
62633,1856.260706,0.0,0.0,0.0,0
62653,1856.280727,0.0,0.0,0.0,0
62673,1856.300699,0.0,0.0,0.0,0
62693,1856.320705,0.0,0.0,0.0,0
62713,1856.340714,0.0,0.0,0.0,0
62733,1856.360704,0.0,0.0,0.0,0
62753,1856.380698,0.0,0.0,0.0,0
62773,1856.400695,0.0,0.0,0.0,0
62793,1856.420700,0.0,0.0,0.0,0
62813,1856.440695,0.0,0.0,0.0,0
62833,1856.460699,0.0,0.0,0.0,0
62853,1856.480709,0.0,0.0,0.0,0
62873,1856.500701,0.0,0.0,0.0,0
62893,1856.520697,0.0,0.0,0.0,0
62913,1856.540712,0.0,0.0,0.0,0
62933,1856.560695,0.0,0.0,0.0,0
62953,1856.580696,0.0,0.0,0.0,0
62973,1856.600693,0.0,0.0,0.0,0
62993,1856.620696,0.0,0.0,0.0,0
63013,1856.640696,0.0,0.0,0.0,0
63033,1856.660693,0.0,0.0,0.0,0
63053,1856.680706,0.0,0.0,0.0,0
63073,1856.700691,0.0,0.0,0.0,0
63093,1856.720693,0.0,0.0,0.0,0
63113,1856.740716,0.0,0.0,0.0,0
63133,1856.760693,0.0,0.0,0.0,0
63153,1856.780697,0.0,0.0,0.0,0
63173,1856.800691,0.0,0.0,0.0,0
63193,1856.820691,0.0,0.0,0.0,0
63213,1856.840692,0.0,0.0,0.0,0
63233,1856.860691,0.0,0.0,0.0,0
63253,1856.880701,0.0,0.0,0.0,0
