Timestamp,sensorFilter.flowLocal,sensorFilter.surfBaroD,sensorFilter.surfCand,sensorFilter.surfOffset,sensorFilter.surfReason,sensorFilter.surfState
3599373,0,0.0,0.0,0.0,0,0
3599393,0,0.0,0.0,0.0,0,0
3599413,0,0.0,0.0,0.0,0,0
3599433,0,0.0,0.0,0.0,0,0
3599453,0,0.0,0.0,0.0,0,0
3599473,0,0.0,0.0,0.0,0,0
3599493,0,0.0,0.0,0.0,0,0
3599513,0,0.0,0.0,0.0,0,0
3599533,0,0.0,0.0,0.0,0,0
3599553,0,0.0,0.0,0.0,0,0
3599573,0,0.0,0.0,0.0,0,0
3599593,0,0.0,0.0,0.0,0,0
3599613,0,0.0,0.0,0.0,0,0
3599633,0,0.0,0.0,0.0,0,0
3599653,0,0.0,0.0,0.0,0,0
3599673,0,0.0,0.0,0.0,0,0
3599693,0,0.0,0.0,0.0,0,0
3599713,0,0.0,0.0,0.0,0,0
3599733,0,0.0,0.0,0.0,0,0
3599753,0,0.0,0.0,0.0,0,0
3599773,0,0.0,0.0,0.0,0,0
3599793,0,0.0,0.0,0.0,0,0
3599813,0,0.0,0.0,0.0,0,0
3599833,0,0.0,0.0,0.0,0,0
3599853,0,0.0,0.0,0.0,0,0
3599873,0,0.0,0.0,0.0,0,0
3599893,0,0.0,0.0,0.0,0,0
3599913,0,0.0,0.0,0.0,0,0
3599933,0,0.0,0.0,0.0,0,0
3599953,0,0.0,0.0,0.0,0,0
3599973,0,0.0,0.0,0.0,0,0
3599993,0,0.0,0.0,0.0,0,0
3600013,0,0.0,0.0,0.0,0,0
3600033,0,0.0,0.0,0.0,0,0
3600053,0,0.0,0.0,0.0,0,0
3600073,0,0.0,0.0,0.0,0,0
3600093,0,0.0,0.0,0.0,0,0
3600113,0,0.0,0.0,0.0,0,0
3600133,0,0.0,0.0,0.0,0,0
3600153,0,0.0,0.0,0.0,0,0
3600173,0,0.0,0.0,0.0,0,0
3600193,0,0.0,0.0,0.0,0,0
3600213,0,0.0,0.0,0.0,0,0
3600233,0,0.0,0.0,0.0,0,0
3600253,0,0.0,0.0,0.0,0,0
3600273,0,0.0,0.0,0.0,0,0
3600293,0,0.0,0.0,0.0,0,0
3600313,0,0.0,0.0,0.0,0,0
3600333,0,0.0,0.0,0.0,0,0
3600353,0,0.0,0.0,0.0,0,0
3600373,0,0.0,0.0,0.0,0,0
3600393,0,0.0,0.0,0.0,0,0
3600413,0,0.0,0.0,0.0,0,0
3600433,0,0.0,0.0,0.0,0,0
3600453,0,0.0,0.0,0.0,0,0
3600473,0,0.0,0.0,0.0,0,0
3600493,0,0.0,0.0,0.0,0,0
3600513,0,0.0,0.0,0.0,0,0
3600533,0,0.0,0.0,0.0,0,0
3600553,0,0.0,0.0,0.0,0,0
3600573,0,0.0,0.0,0.0,0,0
3600593,0,0.0,0.0,0.0,0,0
3600613,0,0.0,0.0,0.0,0,0
3600633,0,0.0,0.0,0.0,0,0
3600653,0,0.0,0.0,0.0,0,0
3600673,0,0.0,0.0,0.0,0,0
3600693,0,0.0,0.0,0.0,0,0
3600713,0,0.0,0.0,0.0,0,0
3600733,0,0.0,0.0,0.0,0,0
3600753,0,0.0,0.0,0.0,0,0
3600773,0,0.0,0.0,0.0,0,0
3600793,0,0.0,0.0,0.0,0,0
3600813,0,0.0,0.0,0.0,0,0
3600833,0,0.0,0.0,0.0,0,0
3600853,0,0.0,0.0,0.0,0,0
3600873,0,0.0,0.0,0.0,0,0
3600893,0,0.0,0.0,0.0,0,0
3600913,0,0.0,0.0,0.0,0,0
3600933,0,0.0,0.0,0.0,0,0
3600953,0,0.0,0.0,0.0,0,0
3600973,0,0.0,0.0,0.0,0,0
3600993,0,0.0,0.0,0.0,0,0
3601013,0,0.0,0.0,0.0,0,0
3601033,0,0.0,0.0,0.0,0,0
3601053,0,0.0,0.0,0.0,0,0
3601073,0,0.0,0.0,0.0,0,0
3601093,0,0.0,0.0,0.0,0,0
3601113,0,0.0,0.0,0.0,0,0
3601133,0,0.0,0.0,0.0,0,0
3601153,0,0.0,0.0,0.0,0,0
3601173,0,0.0,0.0,0.0,0,0
3601193,0,0.0,0.0,0.0,0,0
3601213,0,0.0,0.0,0.0,0,0
3601233,0,0.0,0.0,0.0,0,0
3601253,0,0.0,0.0,0.0,0,0
3601273,0,0.0,0.0,0.0,0,0
3601293,0,0.0,0.0,0.0,0,0
3601313,0,0.0,0.0,0.0,0,0
3601333,0,0.0,0.0,0.0,0,0
3601353,0,0.0,0.0,0.0,0,0
3601373,0,0.0,0.0,0.0,0,0
3601393,0,0.0,0.0,0.0,0,0
3601413,0,0.0,0.0,0.0,0,0
3601433,0,0.0,0.0,0.0,0,0
3601453,0,0.0,0.0,0.0,0,0
3601473,0,0.0,0.0,0.0,0,0
3601493,0,0.0,0.0,0.0,0,0
3601513,0,0.0,0.0,0.0,0,0
3601533,0,0.0,0.0,0.0,0,0
3601553,0,0.0,0.0,0.0,0,0
3601573,0,0.0,0.0,0.0,0,0
3601593,0,0.0,0.0,0.0,0,0
3601613,0,0.0,0.0,0.0,0,0
3601633,0,0.0,0.0,0.0,0,0
3601653,0,0.0,0.0,0.0,0,0
3601673,0,0.0,0.0,0.0,0,0
3601693,0,0.0,0.0,0.0,0,0
3601713,0,0.0,0.0,0.0,0,0
3601733,0,0.0,0.0,0.0,0,0
3601753,0,0.0,0.0,0.0,0,0
3601773,0,0.0,0.0,0.0,0,0
3601793,0,0.0,0.0,0.0,0,0
3601813,0,0.0,0.0,0.0,0,0
3601833,0,0.0,0.0,0.0,0,0
3601853,0,0.0,0.0,0.0,0,0
3601873,0,0.0,0.0,0.0,0,0
3601893,0,0.0,0.0,0.0,0,0
3601913,0,0.0,0.0,0.0,0,0
3601933,0,0.0,0.0,0.0,0,0
3601953,0,0.0,0.0,0.0,0,0
3601973,0,0.0,0.0,0.0,0,0
3601993,0,0.0,0.0,0.0,0,0
3602013,0,0.0,0.0,0.0,0,0
3602033,0,0.0,0.0,0.0,0,0
3602053,0,0.0,0.0,0.0,0,0
3602073,0,0.0,0.0,0.0,0,0
3602093,0,0.0,0.0,0.0,0,0
3602113,0,0.0,0.0,0.0,0,0
3602133,0,0.0,0.0,0.0,0,0
3602153,0,0.0,0.0,0.0,0,0
3602173,0,0.0,0.0,0.0,0,0
3602193,0,0.0,0.0,0.0,0,0
3602213,0,0.0,0.0,0.0,0,0
3602233,0,0.0,0.0,0.0,0,0
3602253,0,0.0,0.0,0.0,0,0
3602273,0,0.0,0.0,0.0,0,0
3602293,0,0.0,0.0,0.0,0,0
3602313,0,0.0,0.0,0.0,0,0
3602333,0,0.0,0.0,0.0,0,0
3602353,0,0.0,0.0,0.0,0,0
3602373,0,0.0,0.0,0.0,0,0
3602393,0,0.0,0.0,0.0,0,0
3602413,0,0.0,0.0,0.0,0,0
3602433,0,0.0,0.0,0.0,0,0
3602453,0,0.0,0.0,0.0,0,0
3602473,0,0.0,0.0,0.0,0,0
3602493,0,0.0,0.0,0.0,0,0
3602513,0,0.0,0.0,0.0,0,0
3602533,0,0.0,0.0,0.0,0,0
3602553,0,0.0,0.0,0.0,0,0
3602573,0,0.0,0.0,0.0,0,0
3602593,0,0.0,0.0,0.0,0,0
3602613,0,0.0,0.0,0.0,0,0
3602633,0,0.0,0.0,0.0,0,0
3602653,0,0.0,0.0,0.0,0,0
3602673,0,0.0,0.0,0.0,0,0
3602693,0,0.0,0.0,0.0,0,0
3602713,0,0.0,0.0,0.0,0,0
3602733,0,0.0,0.0,0.0,0,0
3602753,0,0.0,0.0,0.0,0,0
3602773,0,0.0,0.0,0.0,0,0
3602793,0,0.0,0.0,0.0,0,0
3602813,0,0.0,0.0,0.0,0,0
3602833,0,0.0,0.0,0.0,0,0
3602853,0,0.0,0.0,0.0,0,0
3602873,0,0.0,0.0,0.0,0,0
3602893,0,0.0,0.0,0.0,0,0
3602913,0,0.0,0.0,0.0,0,0
3602933,0,0.0,0.0,0.0,0,0
3602953,0,0.0,0.0,0.0,0,0
3602973,0,0.0,0.0,0.0,0,0
3602993,0,0.0,0.0,0.0,0,0
3603013,0,0.0,0.0,0.0,0,0
3603033,0,0.0,0.0,0.0,0,0
3603053,0,0.0,0.0,0.0,0,0
3603073,0,0.0,0.0,0.0,0,0
3603093,0,0.0,0.0,0.0,0,0
3603113,0,0.0,0.0,0.0,0,0
3603133,0,0.0,0.0,0.0,0,0
3603153,0,0.0,0.0,0.0,0,0
3603173,0,0.0,0.0,0.0,0,0
3603193,0,0.0,0.0,0.0,0,0
3603213,0,0.0,0.0,0.0,0,0
3603233,0,0.0,0.0,0.0,0,0
3603253,0,0.0,0.0,0.0,0,0
3603273,0,0.0,0.0,0.0,0,0
3603293,0,0.0,0.0,0.0,0,0
3603313,0,0.0,0.0,0.0,0,0
3603333,0,0.0,0.0,0.0,0,0
3603353,0,0.0,0.0,0.0,0,0
3603373,0,0.0,0.0,0.0,0,0
3603393,0,0.0,0.0,0.0,0,0
3603413,0,0.0,0.0,0.0,0,0
3603433,0,0.0,0.0,0.0,0,0
3603453,0,0.0,0.0,0.0,0,0
3603473,0,0.0,0.0,0.0,0,0
3603493,0,0.0,0.0,0.0,0,0
3603513,0,0.0,0.0,0.0,0,0
3603533,0,0.0,0.0,0.0,0,0
3603553,0,0.0,0.0,0.0,0,0
3603573,0,0.0,0.0,0.0,0,0
3603593,0,0.0,0.0,0.0,0,0
3603613,0,0.0,0.0,0.0,0,0
3603633,0,0.0,0.0,0.0,0,0
3603653,0,0.0,0.0,0.0,0,0
3603673,0,0.0,0.0,0.0,0,0
3603693,0,0.0,0.0,0.0,0,0
3603713,0,0.0,0.0,0.0,0,0
3603733,0,0.0,0.0,0.0,0,0
3603753,0,0.0,0.0,0.0,0,0
3603773,0,0.0,0.0,0.0,0,0
3603793,0,0.0,0.0,0.0,0,0
3603813,0,0.0,0.0,0.0,0,0
3603833,0,0.0,0.0,0.0,0,0
3603853,0,0.0,0.0,0.0,0,0
3603873,0,0.0,0.0,0.0,0,0
3603893,0,0.0,0.0,0.0,0,0
3603913,0,0.0,0.0,0.0,0,0
3603933,0,0.0,0.0,0.0,0,0
3603953,0,0.0,0.0,0.0,0,0
3603973,0,0.0,0.0,0.0,0,0
3603993,0,0.0,0.0,0.0,0,0
3604013,0,0.0,0.0,0.0,0,0
3604033,0,0.0,0.0,0.0,0,0
3604053,0,0.0,0.0,0.0,0,0
3604073,0,0.0,0.0,0.0,0,0
3604093,0,0.0,0.0,0.0,0,0
