Timestamp,sensorFilter.baroAgeD,sensorFilter.baroLagD,sensorFilter.baroSeenD,sensorFilter.tofAgeD,sensorFilter.vzDec
569389,0,0,0,0,0.0
569409,0,0,0,0,0.0
569429,0,0,0,0,0.0
569449,0,0,0,0,0.0
569469,0,0,0,0,0.0
569489,0,0,0,0,0.0
569509,0,0,0,0,0.0
569529,0,0,0,0,0.0
569549,0,0,0,0,0.0
569569,0,0,0,0,0.0
569589,0,0,0,0,0.0
569609,0,0,0,0,0.0
569629,0,0,0,0,0.0
569649,0,0,0,0,0.0
569669,0,0,0,0,0.0
569689,0,0,0,0,0.0
569709,0,0,0,0,0.0
569729,0,0,0,0,0.0
569749,0,0,0,0,0.0
569769,0,0,0,0,0.0
569789,0,0,0,0,0.0
569809,0,0,0,0,0.0
569829,0,0,0,0,0.0
569849,0,0,0,0,0.0
569869,0,0,0,0,0.0
569889,0,0,0,0,0.0
569909,0,0,0,0,0.0
569929,0,0,0,0,0.0
569949,0,0,0,0,0.0
569969,0,0,0,0,0.0
569989,0,0,0,0,0.0
570009,0,0,0,0,0.0
570029,0,0,0,0,0.0
570049,0,0,0,0,0.0
570069,0,0,0,0,0.0
570089,0,0,0,0,0.0
570109,0,0,0,0,0.0
570129,0,0,0,0,0.0
570149,0,0,0,0,0.0
570169,0,0,0,0,0.0
570189,0,0,0,0,0.0
570209,0,0,0,0,0.0
570229,0,0,0,0,0.0
570249,0,0,0,0,0.0
570269,0,0,0,0,0.0
570289,0,0,0,0,0.0
570309,0,0,0,0,0.0
570329,0,0,0,0,0.0
570349,0,0,0,0,0.0
570369,0,0,0,0,0.0
570389,0,0,0,0,0.0
570409,0,0,0,0,0.0
570429,0,0,0,0,0.0
570449,0,0,0,0,0.0
570469,0,0,0,0,0.0
570489,0,0,0,0,0.0
570509,0,0,0,0,0.0
570529,0,0,0,0,0.0
570549,0,0,0,0,0.0
570569,0,0,0,0,0.0
570589,0,0,0,0,0.0
570609,0,0,0,0,0.0
570629,0,0,0,0,0.0
570649,0,0,0,0,0.0
570669,0,0,0,0,0.0
570689,0,0,0,0,0.0
570709,0,0,0,0,0.0
570729,0,0,0,0,0.0
570749,0,0,0,0,0.0
570769,0,0,0,0,0.0
570789,0,0,0,0,0.0
570809,0,0,0,0,0.0
570829,0,0,0,0,0.0
570849,0,0,0,0,0.0
570869,0,0,0,0,0.0
570889,0,0,0,0,0.0
570909,0,0,0,0,0.0
570929,0,0,0,0,0.0
570949,0,0,0,0,0.0
570969,0,0,0,0,0.0
570989,0,0,0,0,0.0
571009,0,0,0,0,0.0
571029,0,0,0,0,0.0
571049,0,0,0,0,0.0
571069,0,0,0,0,0.0
571089,0,0,0,0,0.0
571109,0,0,0,0,0.0
571129,0,0,0,0,0.0
571149,0,0,0,0,0.0
571169,0,0,0,0,0.0
571189,0,0,0,0,0.0
571209,0,0,0,0,0.0
571229,0,0,0,0,0.0
571249,0,0,0,0,0.0
571269,0,0,0,0,0.0
571289,0,0,0,0,0.0
571309,0,0,0,0,0.0
571329,0,0,0,0,0.0
571349,0,0,0,0,0.0
571369,0,0,0,0,0.0
571389,0,0,0,0,0.0
571409,0,0,0,0,0.0
571429,0,0,0,0,0.0
571449,0,0,0,0,0.0
571469,0,0,0,0,0.0
571489,0,0,0,0,0.0
571509,0,0,0,0,0.0
571529,0,0,0,0,0.0
571549,0,0,0,0,0.0
571569,0,0,0,0,0.0
571589,0,0,0,0,0.0
571609,0,0,0,0,0.0
571629,0,0,0,0,0.0
571649,0,0,0,0,0.0
571669,0,0,0,0,0.0
571689,0,0,0,0,0.0
571709,0,0,0,0,0.0
571729,0,0,0,0,0.0
571749,0,0,0,0,0.0
571769,0,0,0,0,0.0
571789,0,0,0,0,0.0
571809,0,0,0,0,0.0
571829,0,0,0,0,0.0
571849,0,0,0,0,0.0
571869,0,0,0,0,0.0
571889,0,0,0,0,0.0
571909,0,0,0,0,0.0
571929,0,0,0,0,0.0
571949,0,0,0,0,0.0
571969,0,0,0,0,0.0
571989,0,0,0,0,0.0
572009,0,0,0,0,0.0
572029,0,0,0,0,0.0
572049,0,0,0,0,0.0
572069,0,0,0,0,0.0
572089,0,0,0,0,0.0
