Timestamp,sensorFilter.baroAge0,sensorFilter.baroLag0,sensorFilter.baroSeen0,sensorFilter.tofAge0,sensorFilter.vz0
570279,1,1,1,1,-0.040780555456876755
570299,1,1,1,1,-0.040780555456876755
570319,1,1,1,1,-0.040780555456876755
570339,1,1,1,1,-0.040780555456876755
570359,1,1,1,1,-0.040780555456876755
570379,1,1,1,1,-0.040780555456876755
570399,1,1,1,1,-0.040780555456876755
570419,1,1,1,1,-0.040780555456876755
570439,1,1,1,1,-0.040780555456876755
570459,1,1,1,1,-0.040780555456876755
570479,1,1,1,1,-0.040780555456876755
570499,1,1,1,1,-0.040780555456876755
570519,1,1,1,1,-0.040780555456876755
570539,1,1,1,1,-0.040780555456876755
570559,1,1,1,1,-0.040780555456876755
570579,1,1,1,1,-0.040780555456876755
570599,1,1,1,1,-0.040780555456876755
570619,1,1,1,1,-0.040780555456876755
570639,1,1,1,1,-0.040780555456876755
570659,1,1,1,1,-0.040780555456876755
570679,1,1,1,1,-0.040780555456876755
570699,1,1,1,1,-0.040780555456876755
570719,1,1,1,1,-0.040780555456876755
570739,1,1,1,1,-0.040780555456876755
570759,1,1,1,1,-0.040780555456876755
570779,1,1,1,1,-0.040780555456876755
570799,1,1,1,1,-0.040780555456876755
570819,1,1,1,1,-0.040780555456876755
570839,1,1,1,1,-0.040780555456876755
570859,1,1,1,1,-0.040780555456876755
570879,1,1,1,1,-0.040780555456876755
570899,1,1,1,1,-0.040780555456876755
570919,1,1,1,1,-0.040780555456876755
570939,1,1,1,1,-0.040780555456876755
570959,1,1,1,1,-0.040780555456876755
570979,1,1,1,1,-0.040780555456876755
570999,1,1,1,1,-0.040780555456876755
571019,1,1,1,1,-0.040780555456876755
571039,1,1,1,1,-0.040780555456876755
571059,1,1,1,1,-0.040780555456876755
571079,1,1,1,1,-0.040780555456876755
571099,1,1,1,1,-0.040780555456876755
571119,1,1,1,1,-0.040780555456876755
571139,1,1,1,1,-0.040780555456876755
571159,1,1,1,1,-0.040780555456876755
571179,1,1,1,1,-0.040780555456876755
571199,1,1,1,1,-0.040780555456876755
571219,1,1,1,1,-0.040780555456876755
571239,1,1,1,1,-0.040780555456876755
571259,1,1,1,1,-0.040780555456876755
571279,1,1,1,1,-0.040780555456876755
