Timestamp,sensorFilter.baro0,sensorFilter.baroDDec,sensorFilter.baroDec,sensorFilter.surfReason,sensorFilter.surfState
570855,0.5212669372558594,0.0,0.0,8,1
570875,0.5212669372558594,0.0,0.0,6,1
570895,0.5212669372558594,0.0,0.0,6,1
570915,0.5212669372558594,0.0,0.0,6,1
570935,0.5212669372558594,0.0,0.0,6,1
570955,0.5212669372558594,0.0,0.0,6,1
570975,0.5212669372558594,0.0,0.0,6,1
570995,0.5212669372558594,0.0,0.0,6,1
571015,0.5212669372558594,0.0,0.0,6,1
571035,0.5212669372558594,0.0,0.0,6,1
571055,0.5212669372558594,0.0,0.0,8,1
571075,0.5212669372558594,0.0,0.0,8,1
571095,0.5212669372558594,0.0,0.0,8,1
571115,0.5212669372558594,0.0,0.0,8,1
571135,0.5212669372558594,0.0,0.0,8,1
571155,0.5212669372558594,0.0,0.0,6,1
571175,0.5212669372558594,0.0,0.0,6,1
571195,0.5212669372558594,0.0,0.0,6,1
571215,0.5212669372558594,0.0,0.0,6,1
571235,0.5212669372558594,0.0,0.0,6,1
571255,0.5212669372558594,0.0,0.0,6,1
571275,0.5212669372558594,0.0,0.0,6,1
571295,0.5212669372558594,0.0,0.0,8,1
571315,0.5212669372558594,0.0,0.0,8,1
571335,0.5212669372558594,0.0,0.0,6,1
571355,0.5212669372558594,0.0,0.0,6,1
571375,0.5212669372558594,0.0,0.0,6,1
571395,0.5212669372558594,0.0,0.0,6,1
571415,0.5212669372558594,0.0,0.0,6,1
571435,0.5212669372558594,0.0,0.0,6,1
571455,0.5212669372558594,0.0,0.0,6,1
571475,0.5212669372558594,0.0,0.0,6,1
571495,0.5212669372558594,0.0,0.0,6,1
571515,0.5212669372558594,0.0,0.0,6,1
571535,0.5212669372558594,0.0,0.0,6,1
571555,0.5212669372558594,0.0,0.0,6,1
571575,0.5212669372558594,0.0,0.0,6,1
571595,0.5212669372558594,0.0,0.0,6,1
571615,0.5212669372558594,0.0,0.0,6,1
571635,0.5212669372558594,0.0,0.0,6,1
571655,0.5212669372558594,0.0,0.0,6,1
571675,0.5212669372558594,0.0,0.0,6,1
571695,0.5212669372558594,0.0,0.0,6,1
571715,0.5212669372558594,0.0,0.0,6,1
571735,0.5212669372558594,0.0,0.0,6,1
571755,0.5212669372558594,0.0,0.0,6,1
571775,0.5212669372558594,0.0,0.0,6,1
571795,0.5212669372558594,0.0,0.0,6,1
571815,0.5212669372558594,0.0,0.0,6,1
571835,0.5212669372558594,0.0,0.0,6,1
571855,0.5212669372558594,0.0,0.0,6,1
571875,0.5212669372558594,0.0,0.0,8,1
571895,0.5212669372558594,0.0,0.0,8,1
571915,0.5212669372558594,0.0,0.0,8,1
571935,0.5212669372558594,0.0,0.0,6,1
571955,0.5212669372558594,0.0,0.0,6,1
571975,0.5212669372558594,0.0,0.0,6,1
571995,0.5212669372558594,0.0,0.0,6,1
572015,0.5212669372558594,0.0,0.0,6,1
572035,0.5212669372558594,0.0,0.0,8,1
572055,0.5212669372558594,0.0,0.0,8,1
572075,0.5212669372558594,0.0,0.0,8,1
572095,0.5212669372558594,0.0,0.0,6,1
572115,0.5212669372558594,0.0,0.0,6,1
572135,0.5212669372558594,0.0,0.0,6,1
572155,0.5212669372558594,0.0,0.0,6,1
572175,0.5212669372558594,0.0,0.0,6,1
572195,0.5212669372558594,0.0,0.0,6,1
572215,0.5212669372558594,0.0,0.0,6,1
572235,0.5212669372558594,0.0,0.0,8,1
572255,0.5212669372558594,0.0,0.0,8,1
572275,0.5212669372558594,0.0,0.0,6,1
572295,0.5212669372558594,0.0,0.0,6,1
572315,0.5212669372558594,0.0,0.0,6,1
572335,0.5212669372558594,0.0,0.0,6,1
572355,0.5212669372558594,0.0,0.0,6,1
572375,0.5212669372558594,0.0,0.0,8,1
572395,0.5212669372558594,0.0,0.0,8,1
572415,0.5212669372558594,0.0,0.0,8,1
572435,0.5212669372558594,0.0,0.0,8,1
572455,0.5212669372558594,0.0,0.0,6,1
572475,0.5212669372558594,0.0,0.0,6,1
572495,0.5212669372558594,0.0,0.0,6,1
572515,0.5212669372558594,0.0,0.0,6,1
572535,0.5212669372558594,0.0,0.0,6,1
572555,0.5212669372558594,0.0,0.0,8,1
572575,0.5212669372558594,0.0,0.0,8,1
572595,0.5212669372558594,0.0,0.0,8,1
572615,0.5212669372558594,0.0,0.0,8,1
572635,0.5212669372558594,0.0,0.0,8,1
572655,0.5212669372558594,0.0,0.0,8,1
572675,0.5212669372558594,0.0,0.0,6,1
572695,0.5212669372558594,0.0,0.0,6,1
572715,0.5212669372558594,0.0,0.0,6,1
572735,0.5212669372558594,0.0,0.0,6,1
572755,0.5212669372558594,0.0,0.0,6,1
572775,0.5212669372558594,0.0,0.0,6,1
572795,0.5212669372558594,0.0,0.0,8,1
572815,0.5212669372558594,0.0,0.0,8,1
572835,0.5212669372558594,0.0,0.0,6,1
572855,0.5212669372558594,0.0,0.0,6,1
572875,0.5212669372558594,0.0,0.0,6,1
572895,0.5212669372558594,0.0,0.0,6,1
572915,0.5212669372558594,0.0,0.0,6,1
572935,0.5212669372558594,0.0,0.0,8,1
572955,0.5212669372558594,0.0,0.0,8,1
572975,0.5212669372558594,0.0,0.0,8,1
572995,0.5212669372558594,0.0,0.0,6,1
573015,0.5212669372558594,0.0,0.0,6,1
573035,0.5212669372558594,0.0,0.0,6,1
573055,0.5212669372558594,0.0,0.0,6,1
573075,0.5212669372558594,0.0,0.0,6,1
