Timestamp,sensorFilter.baroAge,sensorFilter.baroLag,sensorFilter.baroSeen,sensorFilter.lateElig,sensorFilter.tofAge
571354,20,40,1,0,1
571374,20,40,1,0,1
571394,20,40,1,0,1
571414,3,5,1,0,1
571434,14,27,1,0,1
571454,14,27,1,0,1
571474,4,9,1,0,0
571494,15,30,1,0,0
571514,15,30,1,0,0
571534,7,13,1,0,1
571554,17,33,1,0,0
571574,17,33,1,0,0
571594,8,15,1,0,0
571614,18,37,1,0,0
571634,18,37,1,0,0
571654,9,19,1,0,0
571675,0,1,1,0,0
571694,0,1,1,0,0
571714,11,24,1,0,0
571735,11,24,1,0,0
571755,2,5,1,0,0
571775,13,28,1,0,0
571794,13,28,1,0,0
571814,4,9,1,0,0
571834,15,32,1,0,0
571854,15,32,1,0,0
571874,6,13,1,0,0
571894,18,35,1,0,1
571914,18,35,1,0,1
571934,9,17,1,0,1
571954,9,17,1,0,1
571974,20,40,1,0,1
571994,11,21,1,0,1
572014,11,21,1,0,1
572034,2,3,1,0,1
572054,12,26,1,0,0
572074,12,26,1,0,0
572094,4,7,1,0,1
572114,15,29,1,0,1
572134,15,29,1,0,1
572154,6,11,1,0,0
572174,17,33,1,0,1
572194,17,33,1,0,1
572214,8,15,1,0,1
572234,19,37,1,0,1
572254,19,37,1,0,1
572274,9,20,1,0,0
572294,9,20,1,0,0
572314,20,42,1,0,0
572334,12,24,1,0,1
572354,12,24,1,0,1
572374,3,5,1,0,0
572394,14,27,1,0,1
572414,14,27,1,0,1
572434,4,9,1,0,0
572454,16,32,1,0,1
572474,16,32,1,0,1
572494,6,11,1,0,0
572514,17,33,1,0,0
572534,17,33,1,0,0
572554,8,15,1,0,0
572574,18,37,1,0,0
572594,18,37,1,0,0
572614,9,19,1,0,0
572634,9,19,1,0,0
572654,0,1,1,0,0
572674,11,23,1,0,0
572694,11,23,1,0,0
572714,2,5,1,0,0
572734,13,27,1,0,0
572754,13,27,1,0,0
572774,4,9,1,0,0
572794,15,31,1,0,0
572814,15,31,1,0,0
572834,6,13,1,0,0
572854,17,35,1,0,0
572874,17,35,1,0,0
572894,9,18,1,0,1
572914,9,18,1,0,1
572934,20,40,1,0,1
572954,11,21,1,0,1
572974,11,21,1,0,1
572994,14,27,1,0,1
573014,14,27,1,0,1
573034,5,9,1,0,1
573054,16,31,1,0,1
573074,16,31,1,0,1
573094,7,13,1,0,1
573114,18,35,1,0,1
573134,18,35,1,0,1
573154,9,17,1,0,1
573174,9,17,1,0,1
573194,20,40,1,0,1
573214,11,21,1,0,1
573234,11,21,1,0,1
573254,2,3,1,0,1
573274,13,25,1,0,1
573294,13,25,1,0,1
573314,4,7,1,0,1
573334,15,29,1,0,1
573354,15,29,1,0,1
573374,5,11,1,0,0
573394,16,33,1,0,0
573414,16,33,1,0,0
573434,8,15,1,0,1
573454,18,37,1,0,0
573474,18,37,1,0,0
573494,9,17,1,0,0
573514,9,17,1,0,0
573534,20,40,1,0,0
573554,10,21,1,0,0
573574,10,21,1,0,0
573594,1,3,1,0,0
573614,12,26,1,0,0
573634,12,26,1,0,0
573654,3,7,1,0,0
573674,14,29,1,0,0
573694,14,29,1,0,0
573714,5,11,1,0,0
573734,5,11,1,0,0
573754,8,17,1,0,0
573774,8,17,1,0,0
573794,20,40,1,0,1
573814,10,19,1,0,1
573834,10,19,1,0,1
573854,20,39,1,0,1
573874,10,19,1,0,1
573894,10,19,1,0,1
573914,20,39,1,0,1
573934,11,22,1,0,1
573954,11,22,1,0,1
573974,2,3,1,0,1
573994,12,25,1,0,0
574014,12,25,1,0,0
574034,4,7,1,0,1
574054,15,29,1,0,1
574074,15,29,1,0,1
574094,6,11,1,0,0
574114,17,34,1,0,1
574134,17,34,1,0,1
574154,8,15,1,0,1
574174,8,15,1,0,1
574194,19,37,1,0,1
574214,10,19,1,0,1
574234,10,19,1,0,1
574254,20,42,1,0,0
574274,12,24,1,0,1
574294,12,24,1,0,1
574314,3,5,1,0,1
574334,14,27,1,0,1
574354,14,27,1,0,1
574374,16,33,1,0,0
574394,16,33,1,0,0
574414,7,15,1,0,0
574434,7,15,1,0,0
574454,18,36,1,0,0
574474,9,18,1,0,0
574494,9,18,1,0,0
574514,21,40,1,0,1
574534,10,21,1,0,0
574554,10,21,1,0,0
574574,1,3,1,0,0
574594,12,25,1,0,0
574614,12,25,1,0,0
574634,3,7,1,0,0
574654,14,29,1,0,0
574674,14,29,1,0,0
574694,5,11,1,0,0
574714,16,33,1,0,0
574734,16,33,1,0,0
574754,7,15,1,0,0
574774,7,15,1,0,0
574794,18,39,1,0,0
574814,10,20,1,0,1
574834,10,20,1,0,1
574854,1,1,1,0,1
574874,12,23,1,0,1
574894,12,23,1,0,1
574914,3,5,1,0,1
574934,14,27,1,0,1
574954,14,27,1,0,1
574974,5,9,1,0,1
574994,16,34,1,0,0
575014,16,34,1,0,0
575034,7,13,1,0,1
575054,7,13,1,0,1
575074,18,35,1,0,1
575094,9,18,1,0,1
575114,9,18,1,0,1
575134,20,40,1,0,1
575154,11,21,1,0,1
575174,11,21,1,0,1
575194,2,3,1,0,1
575214,12,25,1,0,0
575234,12,25,1,0,0
575254,4,7,1,0,1
575274,15,29,1,0,1
575294,15,29,1,0,1
575314,5,11,1,0,0
575334,16,33,1,0,0
575354,16,33,1,0,0
575374,8,15,1,0,1
575394,8,15,1,0,1
575414,18,35,1,0,0
575434,10,19,1,0,1
575454,10,19,1,0,1
575474,20,39,1,0,0
575494,11,21,1,0,0
575514,11,21,1,0,0
575534,1,3,1,0,0
575554,12,26,1,0,0
575574,12,26,1,0,0
575594,3,7,1,0,0
575614,14,30,1,0,0
575634,14,30,1,0,0
575654,5,11,1,0,0
575674,5,11,1,0,0
575694,16,35,1,0,0
575714,7,15,1,0,0
575734,7,15,1,0,0
575754,18,37,1,0,0
575774,10,20,1,0,1
575794,10,20,1,0,1
575814,1,1,1,0,1
575834,12,23,1,0,1
575854,12,23,1,0,1
575874,3,5,1,0,1
575894,3,5,1,0,1
575914,6,11,1,0,1
575934,6,11,1,0,1
575954,17,33,1,0,1
575974,8,16,1,0,1
575994,8,16,1,0,1
576014,19,39,1,0,0
576034,10,20,1,0,1
576054,10,20,1,0,1
576074,13,26,1,0,1
576094,13,26,1,0,1
576114,4,7,1,0,1
576134,15,29,1,0,1
576154,15,29,1,0,1
576174,6,12,1,0,1
576194,6,12,1,0,1
576214,17,33,1,0,1
576234,17,33,1,0,1
576254,20,40,1,0,1
576274,10,21,1,0,0
576294,10,21,1,0,0
576314,2,3,1,0,1
576334,12,26,1,0,4294967295
576354,12,26,1,0,4294967295
576374,3,5,1,0,0
576394,14,27,1,0,0
576414,14,27,1,0,0
576434,5,10,1,0,0
576454,5,10,1,0,0
576474,16,32,1,0,0
576494,7,13,1,0,0
576514,7,13,1,0,0
576534,17,36,1,0,0
576554,8,17,1,0,0
576574,8,17,1,0,0
576594,20,41,1,0,1
576614,10,21,1,0,0
576634,10,21,1,0,0
576654,1,3,1,0,0
576674,12,26,1,0,0
576694,12,26,1,0,0
576714,3,7,1,0,0
576734,15,30,1,0,1
576754,15,30,1,0,1
576774,6,11,1,0,1
576794,6,11,1,0,1
576814,17,34,1,0,1
576834,8,15,1,0,1
576854,8,15,1,0,1
576874,19,37,1,0,1
576894,10,19,1,0,1
576914,10,19,1,0,1
576934,1,1,1,0,1
576954,12,23,1,0,1
576974,12,23,1,0,1
576994,3,5,1,0,1
577014,14,27,1,0,1
577034,14,27,1,0,1
577054,4,10,1,0,0
577074,4,10,1,0,0
577094,16,31,1,0,1
577114,7,13,1,0,1
577134,7,13,1,0,1
577154,18,35,1,0,1
577174,9,18,1,0,1
577194,9,18,1,0,1
577214,20,40,1,0,1
577234,11,21,1,0,1
577254,11,21,1,0,1
577274,2,3,1,0,1
577294,2,3,1,0,1
577314,4,9,1,0,0
577334,4,9,1,0,0
577354,15,31,1,0,0
577374,6,12,1,0,0
577394,6,12,1,0,0
577414,17,35,1,0,0
577434,7,15,1,0,0
577454,7,15,1,0,0
577474,18,39,1,0,0
577494,9,19,1,0,0
577514,9,19,1,0,0
577534,0,1,1,0,0
577554,11,23,1,0,0
577574,11,23,1,0,0
577594,2,5,1,0,0
577614,13,27,1,0,0
577634,13,27,1,0,0
