Timestamp,sensorFilter.flowLocal,sensorFilter.surfBaroD,sensorFilter.surfCand,sensorFilter.surfOffset,sensorFilter.surfReason,sensorFilter.surfState
4978920,0,0.0,0.0,0.0,0,0
4978940,0,0.0,0.0,0.0,0,0
4978960,0,0.0,0.0,0.0,0,0
4978980,0,0.0,0.0,0.0,0,0
4979000,0,0.0,0.0,0.0,0,0
4979020,0,0.0,0.0,0.0,0,0
4979040,0,0.0,0.0,0.0,0,0
4979060,0,0.0,0.0,0.0,0,0
4979080,0,0.0,0.0,0.0,0,0
4979100,0,0.0,0.0,0.0,0,0
4979120,0,0.0,0.0,0.0,0,0
4979140,0,0.0,0.0,0.0,0,0
4979160,0,0.0,0.0,0.0,0,0
4979180,0,0.0,0.0,0.0,0,0
4979200,0,0.0,0.0,0.0,0,0
4979220,0,0.0,0.0,0.0,0,0
4979240,0,0.0,0.0,0.0,0,0
4979260,0,0.0,0.0,0.0,0,0
4979280,0,0.0,0.0,0.0,0,0
4979300,0,0.0,0.0,0.0,0,0
4979320,0,0.0,0.0,0.0,0,0
4979340,0,0.0,0.0,0.0,0,0
4979360,0,0.0,0.0,0.0,0,0
4979380,0,0.0,0.0,0.0,0,0
4979400,0,0.0,0.0,0.0,0,0
4979420,0,0.0,0.0,0.0,0,0
4979440,0,0.0,0.0,0.0,0,0
4979460,0,0.0,0.0,0.0,0,0
4979480,0,0.0,0.0,0.0,0,0
4979500,0,0.0,0.0,0.0,0,0
4979520,0,0.0,0.0,0.0,0,0
4979540,0,0.0,0.0,0.0,0,0
4979560,0,0.0,0.0,0.0,0,0
4979580,0,0.0,0.0,0.0,0,0
4979600,0,0.0,0.0,0.0,0,0
4979620,0,0.0,0.0,0.0,0,0
4979640,0,0.0,0.0,0.0,0,0
4979660,0,0.0,0.0,0.0,0,0
4979680,0,0.0,0.0,0.0,0,0
4979700,0,0.0,0.0,0.0,0,0
4979720,0,0.0,0.0,0.0,0,0
4979740,0,0.0,0.0,0.0,0,0
4979760,0,0.0,0.0,0.0,0,0
4979780,0,0.0,0.0,0.0,0,0
4979800,0,0.0,0.0,0.0,0,0
4979820,0,0.0,0.0,0.0,0,0
4979840,0,0.0,0.0,0.0,0,0
4979860,0,0.0,0.0,0.0,0,0
4979880,0,0.0,0.0,0.0,0,0
4979900,0,0.0,0.0,0.0,0,0
4979920,0,0.0,0.0,0.0,0,0
4979940,0,0.0,0.0,0.0,0,0
4979960,0,0.0,0.0,0.0,0,0
4979980,0,0.0,0.0,0.0,0,0
4980000,0,0.0,0.0,0.0,0,0
4980020,0,0.0,0.0,0.0,0,0
4980040,0,0.0,0.0,0.0,0,0
4980060,0,0.0,0.0,0.0,0,0
4980080,0,0.0,0.0,0.0,0,0
4980100,0,0.0,0.0,0.0,0,0
4980120,0,0.0,0.0,0.0,0,0
4980140,0,0.0,0.0,0.0,0,0
4980160,0,0.0,0.0,0.0,0,0
4980180,0,0.0,0.0,0.0,0,0
4980200,0,0.0,0.0,0.0,0,0
4980220,0,0.0,0.0,0.0,0,0
4980240,0,0.0,0.0,0.0,0,0
4980260,0,0.0,0.0,0.0,0,0
4980280,0,0.0,0.0,0.0,0,0
4980300,0,0.0,0.0,0.0,0,0
4980320,0,0.0,0.0,0.0,0,0
4980340,0,0.0,0.0,0.0,0,0
4980360,0,0.0,0.0,0.0,0,0
4980380,0,0.0,0.0,0.0,0,0
4980400,0,0.0,0.0,0.0,0,0
4980420,0,0.0,0.0,0.0,0,0
4980440,0,0.0,0.0,0.0,0,0
4980460,0,0.0,0.0,0.0,0,0
4980480,0,0.0,0.0,0.0,0,0
4980500,0,0.0,0.0,0.0,0,0
4980520,0,0.0,0.0,0.0,0,0
4980540,0,0.0,0.0,0.0,0,0
4980560,0,0.0,0.0,0.0,0,0
4980580,0,0.0,0.0,0.0,0,0
4980600,0,0.0,0.0,0.0,0,0
4980620,0,0.0,0.0,0.0,0,0
4980640,0,0.0,0.0,0.0,0,0
4980660,0,0.0,0.0,0.0,0,0
4980680,0,0.0,0.0,0.0,0,0
4980700,0,0.0,0.0,0.0,0,0
4980720,0,0.0,0.0,0.0,0,0
4980740,0,0.0,0.0,0.0,0,0
4980760,0,0.0,0.0,0.0,0,0
4980780,0,0.0,0.0,0.0,0,0
4980800,0,0.0,0.0,0.0,0,0
4980820,0,0.0,0.0,0.0,0,0
4980840,0,0.0,0.0,0.0,0,0
4980860,0,0.0,0.0,0.0,0,0
4980880,0,0.0,0.0,0.0,0,0
4980900,0,0.0,0.0,0.0,0,0
4980920,0,0.0,0.0,0.0,0,0
4980940,0,0.0,0.0,0.0,0,0
4980960,0,0.0,0.0,0.0,0,0
4980980,0,0.0,0.0,0.0,0,0
4981000,0,0.0,0.0,0.0,0,0
4981020,0,0.0,0.0,0.0,0,0
4981040,0,0.0,0.0,0.0,0,0
4981060,0,0.0,0.0,0.0,0,0
4981080,0,0.0,0.0,0.0,0,0
4981100,0,0.0,0.0,0.0,0,0
4981120,0,0.0,0.0,0.0,0,0
4981140,0,0.0,0.0,0.0,0,0
4981160,0,0.0,0.0,0.0,0,0
4981180,0,0.0,0.0,0.0,0,0
4981200,0,0.0,0.0,0.0,0,0
4981220,0,0.0,0.0,0.0,0,0
4981240,0,0.0,0.0,0.0,0,0
4981260,0,0.0,0.0,0.0,0,0
4981280,0,0.0,0.0,0.0,0,0
4981300,0,0.0,0.0,0.0,0,0
4981320,0,0.0,0.0,0.0,0,0
4981340,0,0.0,0.0,0.0,0,0
4981360,0,0.0,0.0,0.0,0,0
4981380,0,0.0,0.0,0.0,0,0
4981400,0,0.0,0.0,0.0,0,0
4981420,0,0.0,0.0,0.0,0,0
4981440,0,0.0,0.0,0.0,0,0
4981460,0,0.0,0.0,0.0,0,0
4981480,0,0.0,0.0,0.0,0,0
4981500,0,0.0,0.0,0.0,0,0
4981520,0,0.0,0.0,0.0,0,0
4981540,0,0.0,0.0,0.0,0,0
4981560,0,0.0,0.0,0.0,0,0
4981580,0,0.0,0.0,0.0,0,0
4981600,0,0.0,0.0,0.0,0,0
4981620,0,0.0,0.0,0.0,0,0
4981640,0,0.0,0.0,0.0,0,0
4981660,0,0.0,0.0,0.0,0,0
4981680,0,0.0,0.0,0.0,0,0
4981700,0,0.0,0.0,0.0,0,0
4981720,0,0.0,0.0,0.0,0,0
4981740,0,0.0,0.0,0.0,0,0
4981760,0,0.0,0.0,0.0,0,0
4981780,0,0.0,0.0,0.0,0,0
