Timestamp,sensorFilter.baroAgeD,sensorFilter.baroLagD,sensorFilter.baroSeenD,sensorFilter.tofAgeD,sensorFilter.vzDec
4979713,0,0,0,0,0.0
4979733,0,0,0,0,0.0
4979753,0,0,0,0,0.0
4979773,0,0,0,0,0.0
4979793,0,0,0,0,0.0
4979813,0,0,0,0,0.0
4979833,0,0,0,0,0.0
4979853,0,0,0,0,0.0
4979873,0,0,0,0,0.0
4979893,0,0,0,0,0.0
4979913,0,0,0,0,0.0
4979933,0,0,0,0,0.0
4979953,0,0,0,0,0.0
4979973,0,0,0,0,0.0
4979993,0,0,0,0,0.0
4980013,0,0,0,0,0.0
4980033,0,0,0,0,0.0
4980053,0,0,0,0,0.0
4980073,0,0,0,0,0.0
4980093,0,0,0,0,0.0
4980113,0,0,0,0,0.0
4980133,0,0,0,0,0.0
4980153,0,0,0,0,0.0
4980173,0,0,0,0,0.0
4980193,0,0,0,0,0.0
4980213,0,0,0,0,0.0
4980233,0,0,0,0,0.0
4980253,0,0,0,0,0.0
4980273,0,0,0,0,0.0
4980293,0,0,0,0,0.0
4980313,0,0,0,0,0.0
4980333,0,0,0,0,0.0
4980353,0,0,0,0,0.0
4980373,0,0,0,0,0.0
4980393,0,0,0,0,0.0
4980413,0,0,0,0,0.0
4980433,0,0,0,0,0.0
4980453,0,0,0,0,0.0
4980473,0,0,0,0,0.0
4980493,0,0,0,0,0.0
4980513,0,0,0,0,0.0
4980533,0,0,0,0,0.0
4980553,0,0,0,0,0.0
4980573,0,0,0,0,0.0
4980593,0,0,0,0,0.0
4980613,0,0,0,0,0.0
4980633,0,0,0,0,0.0
4980653,0,0,0,0,0.0
4980673,0,0,0,0,0.0
4980693,0,0,0,0,0.0
4980713,0,0,0,0,0.0
4980733,0,0,0,0,0.0
4980753,0,0,0,0,0.0
4980773,0,0,0,0,0.0
4980793,0,0,0,0,0.0
4980813,0,0,0,0,0.0
4980833,0,0,0,0,0.0
4980853,0,0,0,0,0.0
4980873,0,0,0,0,0.0
4980893,0,0,0,0,0.0
4980913,0,0,0,0,0.0
4980933,0,0,0,0,0.0
4980953,0,0,0,0,0.0
4980973,0,0,0,0,0.0
4980993,0,0,0,0,0.0
4981013,0,0,0,0,0.0
4981033,0,0,0,0,0.0
4981053,0,0,0,0,0.0
4981073,0,0,0,0,0.0
4981093,0,0,0,0,0.0
4981113,0,0,0,0,0.0
4981133,0,0,0,0,0.0
4981153,0,0,0,0,0.0
4981173,0,0,0,0,0.0
4981193,0,0,0,0,0.0
4981213,0,0,0,0,0.0
4981233,0,0,0,0,0.0
4981253,0,0,0,0,0.0
4981273,0,0,0,0,0.0
4981293,0,0,0,0,0.0
4981313,0,0,0,0,0.0
4981333,0,0,0,0,0.0
4981353,0,0,0,0,0.0
4981373,0,0,0,0,0.0
4981393,0,0,0,0,0.0
4981413,0,0,0,0,0.0
4981433,0,0,0,0,0.0
4981453,0,0,0,0,0.0
4981473,0,0,0,0,0.0
4981493,0,0,0,0,0.0
4981513,0,0,0,0,0.0
4981533,0,0,0,0,0.0
4981553,0,0,0,0,0.0
4981573,0,0,0,0,0.0
4981593,0,0,0,0,0.0
4981613,0,0,0,0,0.0
4981633,0,0,0,0,0.0
4981653,0,0,0,0,0.0
4981673,0,0,0,0,0.0
4981693,0,0,0,0,0.0
4981713,0,0,0,0,0.0
4981733,0,0,0,0,0.0
