Timestamp,sensorFilter.baro0,sensorFilter.baroDDec,sensorFilter.baroDec,sensorFilter.surfReason,sensorFilter.surfState
4980804,0.0,0.0,0.0,0,0
4980824,0.0,0.0,0.0,0,0
4980844,0.0,0.0,0.0,0,0
4980864,0.0,0.0,0.0,0,0
4980884,0.0,0.0,0.0,0,0
4980904,0.0,0.0,0.0,0,0
4980924,0.0,0.0,0.0,0,0
4980944,0.0,0.0,0.0,0,0
4980964,0.0,0.0,0.0,0,0
4980984,0.0,0.0,0.0,0,0
4981004,0.0,0.0,0.0,0,0
4981024,0.0,0.0,0.0,0,0
4981044,0.0,0.0,0.0,0,0
4981064,0.0,0.0,0.0,0,0
4981084,0.0,0.0,0.0,0,0
4981104,0.0,0.0,0.0,0,0
4981124,0.0,0.0,0.0,0,0
4981144,0.0,0.0,0.0,0,0
4981164,0.0,0.0,0.0,0,0
4981184,0.0,0.0,0.0,0,0
4981204,0.0,0.0,0.0,0,0
4981224,0.0,0.0,0.0,0,0
4981244,0.0,0.0,0.0,0,0
4981264,0.0,0.0,0.0,0,0
4981284,0.0,0.0,0.0,0,0
4981304,0.0,0.0,0.0,0,0
4981324,0.0,0.0,0.0,0,0
4981344,0.0,0.0,0.0,0,0
4981364,0.0,0.0,0.0,0,0
4981384,0.0,0.0,0.0,0,0
4981404,0.0,0.0,0.0,0,0
4981424,0.0,0.0,0.0,0,0
4981444,0.0,0.0,0.0,0,0
4981464,0.0,0.0,0.0,0,0
4981484,0.0,0.0,0.0,0,0
4981504,0.0,0.0,0.0,0,0
4981524,0.0,0.0,0.0,0,0
4981544,0.0,0.0,0.0,0,0
4981564,0.0,0.0,0.0,0,0
4981584,0.0,0.0,0.0,0,0
4981604,0.0,0.0,0.0,0,0
4981624,0.0,0.0,0.0,0,0
4981644,0.0,0.0,0.0,0,0
4981664,0.0,0.0,0.0,0,0
4981684,0.0,0.0,0.0,0,0
4981704,0.0,0.0,0.0,0,0
4981724,0.0,0.0,0.0,0,0
4981744,0.0,0.0,0.0,0,0
4981764,0.0,0.0,0.0,0,0
4981784,0.0,0.0,0.0,0,0
4981804,0.0,0.0,0.0,0,0
4981824,0.0,0.0,0.0,0,0
4981844,0.0,0.0,0.0,0,0
4981864,0.0,0.0,0.0,0,0
4981884,0.0,0.0,0.0,0,0
4981904,0.0,0.0,0.0,0,0
4981924,0.0,0.0,0.0,0,0
4981944,0.0,0.0,0.0,0,0
4981964,0.0,0.0,0.0,0,0
4981984,0.0,0.0,0.0,0,0
4982004,0.0,0.0,0.0,0,0
4982024,0.0,0.0,0.0,0,0
4982044,0.0,0.0,0.0,0,0
4982064,0.0,0.0,0.0,0,0
4982084,0.0,0.0,0.0,0,0
4982104,0.0,0.0,0.0,0,0
4982124,0.0,0.0,0.0,0,0
4982144,0.0,0.0,0.0,0,0
4982164,0.0,0.0,0.0,0,0
4982184,0.0,0.0,0.0,0,0
4982204,0.0,0.0,0.0,0,0
4982224,0.0,0.0,0.0,0,0
4982244,0.0,0.0,0.0,0,0
4982264,0.0,0.0,0.0,0,0
4982284,0.0,0.0,0.0,0,0
4982304,0.0,0.0,0.0,0,0
4982324,0.0,0.0,0.0,0,0
4982344,0.0,0.0,0.0,0,0
4982364,0.0,0.0,0.0,0,0
4982384,0.0,0.0,0.0,0,0
4982404,0.0,0.0,0.0,0,0
4982424,0.0,0.0,0.0,0,0
4982444,0.0,0.0,0.0,0,0
4982464,0.0,0.0,0.0,0,0
4982484,0.0,0.0,0.0,0,0
4982504,0.0,0.0,0.0,0,0
4982524,0.0,0.0,0.0,0,0
4982544,0.0,0.0,0.0,0,0
4982564,0.0,0.0,0.0,0,0
4982584,0.0,0.0,0.0,0,0
4982604,0.0,0.0,0.0,0,0
4982624,0.0,0.0,0.0,0,0
