Timestamp,sensorFilter.baroAge,sensorFilter.baroLag,sensorFilter.baroSeen,sensorFilter.lateElig,sensorFilter.tofAge
4981294,2,3,1,0,1
4981314,5,9,1,0,1
4981334,5,9,1,0,1
4981354,8,15,1,0,1
4981374,8,15,1,0,1
4981394,11,21,1,0,1
4981414,11,21,1,0,1
4981434,14,27,1,0,1
4981454,14,27,1,0,1
4981474,17,33,1,0,1
4981494,17,33,1,0,1
4981514,17,33,1,0,1
4981534,20,39,1,0,1
4981554,20,39,1,0,1
4981574,3,5,1,0,1
4981594,3,5,1,0,1
4981614,6,11,1,0,1
4981634,6,11,1,0,1
4981654,9,17,1,0,1
4981674,9,17,1,0,1
4981694,12,23,1,0,1
4981714,12,23,1,0,1
4981734,14,27,1,0,0
4981754,14,27,1,0,0
4981774,17,33,1,0,0
4981794,17,33,1,0,0
4981814,17,33,1,0,0
4981834,20,39,1,0,0
4981854,20,39,1,0,0
4981874,2,5,1,0,0
4981894,2,5,1,0,0
4981914,5,11,1,0,0
4981934,5,11,1,0,0
4981954,8,17,1,0,0
4981974,8,17,1,0,0
4981994,11,23,1,0,0
4982014,11,23,1,0,0
4982034,14,29,1,0,0
4982054,14,29,1,0,0
4982074,14,29,1,0,0
4982094,18,35,1,0,1
4982114,18,35,1,0,1
4982134,1,1,1,0,1
4982154,1,1,1,0,1
4982174,4,7,1,0,1
4982194,4,7,1,0,1
4982214,7,13,1,0,1
4982234,7,13,1,0,1
4982254,10,19,1,0,1
4982274,10,19,1,0,1
4982294,13,25,1,0,1
4982314,13,25,1,0,1
4982334,16,31,1,0,1
4982354,16,31,1,0,1
4982374,16,31,1,0,1
4982394,19,37,1,0,1
4982414,19,37,1,0,1
4982434,2,3,1,0,1
4982454,2,3,1,0,1
4982474,5,9,1,0,1
4982494,5,9,1,0,1
4982514,8,15,1,0,1
4982534,8,15,1,0,1
4982554,11,21,1,0,1
4982574,11,21,1,0,1
4982594,14,27,1,0,1
4982614,14,27,1,0,1
4982634,16,33,1,0,0
4982654,16,33,1,0,0
4982674,16,33,1,0,0
4982694,19,37,1,0,0
4982714,19,37,1,0,0
4982734,2,3,1,0,0
4982754,2,3,1,0,0
4982774,5,9,1,0,0
4982794,5,9,1,0,0
4982814,7,15,1,0,0
4982834,7,15,1,0,0
4982854,10,21,1,0,0
4982874,10,21,1,0,0
4982894,13,27,1,0,0
4982914,13,27,1,0,0
4982934,13,27,1,0,0
4982954,16,33,1,0,0
4982974,16,33,1,0,0
4982994,20,39,1,0,1
4983014,20,39,1,0,1
4983034,3,5,1,0,1
4983054,3,5,1,0,1
4983074,6,11,1,0,1
4983094,6,11,1,0,1
4983114,9,17,1,0,1
4983134,9,17,1,0,1
4983154,12,23,1,0,1
4983174,12,23,1,0,1
4983194,15,29,1,0,1
4983214,15,29,1,0,1
4983234,15,29,1,0,1
4983254,18,35,1,0,1
4983274,18,35,1,0,1
4983294,1,1,1,0,1
4983314,1,1,1,0,1
4983334,4,7,1,0,1
4983354,4,7,1,0,1
4983374,7,13,1,0,1
4983394,7,13,1,0,1
4983414,10,19,1,0,1
4983434,10,19,1,0,1
4983454,12,25,1,0,0
4983474,12,25,1,0,0
4983494,15,31,1,0,0
4983514,15,31,1,0,0
4983534,15,31,1,0,0
4983554,18,35,1,0,0
4983574,18,35,1,0,0
4983594,1,1,1,0,0
4983614,1,1,1,0,0
4983634,4,7,1,0,0
4983654,4,7,1,0,0
4983674,7,13,1,0,0
4983694,7,13,1,0,0
4983714,10,19,1,0,0
4983734,10,19,1,0,0
4983754,12,25,1,0,0
4983774,12,25,1,0,0
4983794,12,25,1,0,0
4983814,15,31,1,0,0
4983834,15,31,1,0,0
4983854,18,37,1,0,0
4983874,18,37,1,0,0
4983894,1,3,1,0,0
4983914,1,3,1,0,0
4983934,5,9,1,0,1
4983954,5,9,1,0,1
4983974,8,15,1,0,1
4983994,8,15,1,0,1
4984014,11,21,1,0,1
4984034,11,21,1,0,1
4984054,13,25,1,0,1
4984074,13,25,1,0,1
4984094,13,25,1,0,1
4984114,16,31,1,0,1
4984134,16,31,1,0,1
4984154,19,37,1,0,1
4984174,19,37,1,0,1
4984194,1,1,1,0,1
4984214,1,1,1,0,1
4984234,4,7,1,0,1
4984254,4,7,1,0,1
4984274,6,11,1,0,1
4984294,6,11,1,0,1
4984314,9,17,1,0,1
4984334,9,17,1,0,1
4984354,11,21,1,0,1
4984374,11,21,1,0,1
4984394,14,27,1,0,1
4984414,14,27,1,0,1
4984434,14,27,1,0,1
4984454,17,33,1,0,1
4984474,17,33,1,0,1
4984494,18,37,1,0,0
4984514,18,37,1,0,0
4984534,20,39,1,0,0
4984554,20,39,1,0,0
4984574,2,3,1,0,0
4984594,2,3,1,0,0
4984614,4,7,1,0,0
