Timestamp,sensorFilter.baroAge0,sensorFilter.baroLag0,sensorFilter.baroSeen0,sensorFilter.tofAge0,sensorFilter.vz0
5603701,0,0,0,0,0.0
5603721,0,0,0,0,0.0
5603741,0,0,0,0,0.0
5603761,0,0,0,0,0.0
5603781,0,0,0,0,0.0
5603801,0,0,0,0,0.0
5603821,0,0,0,0,0.0
5603841,0,0,0,0,0.0
5603861,0,0,0,0,0.0
5603881,0,0,0,0,0.0
5603901,0,0,0,0,0.0
5603921,0,0,0,0,0.0
5603941,0,0,0,0,0.0
5603961,0,0,0,0,0.0
5603981,0,0,0,0,0.0
5604001,0,0,0,0,0.0
5604021,0,0,0,0,0.0
5604041,0,0,0,0,0.0
5604061,0,0,0,0,0.0
5604081,0,0,0,0,0.0
5604101,0,0,0,0,0.0
5604121,0,0,0,0,0.0
5604141,0,0,0,0,0.0
5604161,0,0,0,0,0.0
5604181,0,0,0,0,0.0
5604201,0,0,0,0,0.0
5604221,0,0,0,0,0.0
5604241,0,0,0,0,0.0
5604261,0,0,0,0,0.0
5604281,0,0,0,0,0.0
5604301,0,0,0,0,0.0
5604321,0,0,0,0,0.0
5604341,0,0,0,0,0.0
5604361,0,0,0,0,0.0
5604381,0,0,0,0,0.0
5604401,0,0,0,0,0.0
5604421,0,0,0,0,0.0
5604441,0,0,0,0,0.0
5604461,0,0,0,0,0.0
5604481,0,0,0,0,0.0
5604501,0,0,0,0,0.0
5604521,0,0,0,0,0.0
5604541,0,0,0,0,0.0
5604561,0,0,0,0,0.0
5604581,0,0,0,0,0.0
5604601,0,0,0,0,0.0
5604621,0,0,0,0,0.0
5604641,0,0,0,0,0.0
5604661,0,0,0,0,0.0
5604681,0,0,0,0,0.0
5604701,0,0,0,0,0.0
5604721,0,0,0,0,0.0
5604741,0,0,0,0,0.0
5604761,0,0,0,0,0.0
5604781,0,0,0,0,0.0
5604801,0,0,0,0,0.0
5604821,0,0,0,0,0.0
5604841,0,0,0,0,0.0
5604861,0,0,0,0,0.0
5604881,0,0,0,0,0.0
5604901,0,0,0,0,0.0
5604921,0,0,0,0,0.0
5604941,0,0,0,0,0.0
5604961,0,0,0,0,0.0
5604981,0,0,0,0,0.0
5605001,0,0,0,0,0.0
5605021,0,0,0,0,0.0
5605041,0,0,0,0,0.0
5605061,0,0,0,0,0.0
5605081,0,0,0,0,0.0
5605101,0,0,0,0,0.0
5605121,0,0,0,0,0.0
5605141,0,0,0,0,0.0
5605161,0,0,0,0,0.0
5605181,0,0,0,0,0.0
5605201,0,0,0,0,0.0
5605221,0,0,0,0,0.0
5605241,0,0,0,0,0.0
5605261,0,0,0,0,0.0
5605281,0,0,0,0,0.0
5605301,0,0,0,0,0.0
5605321,0,0,0,0,0.0
5605341,0,0,0,0,0.0
5605361,0,0,0,0,0.0
5605381,0,0,0,0,0.0
5605401,0,0,0,0,0.0
5605421,0,0,0,0,0.0
5605441,0,0,0,0,0.0
5605461,0,0,0,0,0.0
